RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Hello, Luis and thanks sharing your story. Having strong relationship with parents and best friend can greatly impact us and provide us with emotional stability and support.
I'm happy to hear about your friendship with Richard, it's always pleasant to hear people appreciate close bonding's.
How long have you and Richard known each other, if you don't mind me asking?","{'NEG': 0.0012577008455991745, 'NEU': 0.007774703204631805, 'POS': 0.9909675717353821}",POS,"{'others': 0.04491478577256203, 'joy': 0.9475036263465881, 'sadness': 0.0016974401660263538, 'anger': 0.0013664357829838991, 'surprise': 0.0019569499418139458, 'disgust': 0.0010350560769438744, 'fear': 0.0015255996258929372}",joy,"{'not ironic': 0.9255192875862122, 'ironic': 0.07448072731494904}",not ironic
"I understand that experiences in early childhood, like being picked on by classmates, can have a lasting impact on shaping one's perspective and behavior later in life. It's a common experience and it's great that you feel deeply about privacy due to your past experiences.
Feel free to ask me questions about privacy if you want. I will try my best to answer.","{'NEG': 0.0010805075289681554, 'NEU': 0.032646168023347855, 'POS': 0.966273307800293}",POS,"{'others': 0.9088115692138672, 'joy': 0.013020338490605354, 'sadness': 0.05460023880004883, 'anger': 0.0017200825968757272, 'surprise': 0.002623216947540641, 'disgust': 0.010179146192967892, 'fear': 0.009045477025210857}",others,"{'not ironic': 0.918596625328064, 'ironic': 0.08140335977077484}",not ironic
"Imagine having a sexual orientation and confiding in your best friend for emotional support. It's a delicate scenario, and the feelings could include a mix of fear and hope. Fear over how your friend will react and hope that they'll accept and support you.","{'NEG': 0.014454716816544533, 'NEU': 0.8448733687400818, 'POS': 0.14067195355892181}",NEU,"{'others': 0.031007451936602592, 'joy': 0.0033546644262969494, 'sadness': 0.0039298622868955135, 'anger': 0.001213951501995325, 'surprise': 0.0036038123071193695, 'disgust': 0.002429201267659664, 'fear': 0.9544610381126404}",fear,"{'not ironic': 0.9160640239715576, 'ironic': 0.08393599838018417}",not ironic
"I believe sharing sexual orientation with a best friend for emotional support is appropriate, considering the importance of empathy and trust in such situations. It's crucial to ensure that the friend has a supportive attitude and understands the sensitivity of the information. I'd give it a 4 on a scale of 0 to 5, with 0 being 'strongly disagree' and 5 being 'strongly agree'.","{'NEG': 0.004577706102281809, 'NEU': 0.46007025241851807, 'POS': 0.5353519916534424}",POS,"{'others': 0.9548578858375549, 'joy': 0.007206599693745375, 'sadness': 0.012726246379315853, 'anger': 0.001429264317266643, 'surprise': 0.0024125599302351475, 'disgust': 0.01601080223917961, 'fear': 0.005356521811336279}",others,"{'not ironic': 0.9500237703323364, 'ironic': 0.049976278096437454}",not ironic
"I believe my best friend can handle the information responsibly and respectfully, as our relationship is built on trust and understanding. I'm confident that my friend will treat my personal information with the necessary care and sensitivity. I would give this statement a 4 on a scale of 0 to 5, with 0 indicating 'strongly disagree' and 5 indicating 'strongly agree'.","{'NEG': 0.0013030343689024448, 'NEU': 0.028614595532417297, 'POS': 0.9700824022293091}",POS,"{'others': 0.9615549445152283, 'joy': 0.014886241406202316, 'sadness': 0.009166556410491467, 'anger': 0.0011759208282455802, 'surprise': 0.00208582216873765, 'disgust': 0.0047945184633135796, 'fear': 0.00633593276143074}",others,"{'not ironic': 0.9553257822990417, 'ironic': 0.04467414692044258}",not ironic
"I believe that sharing sexual orientation with a best friend to seek emotional support is a legitimate purpose, particularly if the person is comfortable with opening up and trusts that their best friend will be an empathetic listener. I'd rate this statement a 4 on a scale of 0 to 5, with 5 being 'strongly agree' and 0 'strongly disagree'.","{'NEG': 0.003937848843634129, 'NEU': 0.39010483026504517, 'POS': 0.6059572696685791}",POS,"{'others': 0.9697594046592712, 'joy': 0.014156685210764408, 'sadness': 0.0057288059033453465, 'anger': 0.0008144453167915344, 'surprise': 0.002523718634620309, 'disgust': 0.0038193422369658947, 'fear': 0.0031976185273379087}",others,"{'not ironic': 0.9477285742759705, 'ironic': 0.052271414548158646}",not ironic
"From my personal experiences and knowledge, many people, especially those with close friends, feel comfortable discussing personal information with them, as friendships are based on trust and understanding. Therefore, I believe most individuals would feel comfortable sharing this information with their best friend, given these circumstances, I'd rate this statement a 4 on a scale of 0 to 5, with 0 indicating 'strongly disagree' and 5 indicating 'strongly agree'.","{'NEG': 0.002308316994458437, 'NEU': 0.26326435804367065, 'POS': 0.734427273273468}",POS,"{'others': 0.973945140838623, 'joy': 0.012645134702324867, 'sadness': 0.004029618110507727, 'anger': 0.0008290050318464637, 'surprise': 0.002105116844177246, 'disgust': 0.003578435629606247, 'fear': 0.0028676162473857403}",others,"{'not ironic': 0.951295018196106, 'ironic': 0.048705026507377625}",not ironic
"When sharing a personal aspect like sexual orientation with a friend for emotional support, feelings might include nervousness, anticipation, and anxiety about the potential reactions. However, there's also hope that the friend will respond positively and provide the desired support and acceptance.","{'NEG': 0.005840573459863663, 'NEU': 0.6452878713607788, 'POS': 0.3488715887069702}",NEU,"{'others': 0.014262831769883633, 'joy': 0.004078808706253767, 'sadness': 0.002548742573708296, 'anger': 0.001096327556297183, 'surprise': 0.004193242639303207, 'disgust': 0.0011523788562044501, 'fear': 0.9726676940917969}",fear,"{'not ironic': 0.9511118531227112, 'ironic': 0.04888813942670822}",not ironic
"I believe that sharing personal information with a friend for emotional support is a reasonable course of action. The bond between friends is built on trust and understanding, making it appropriate to disclose personal information to them. I give this statement a score of 3 (agree) on the 0-5 scale, with 0 being 'strongly disagree' and 5 being 'strongly agree'","{'NEG': 0.0023617148399353027, 'NEU': 0.19808419048786163, 'POS': 0.7995541095733643}",POS,"{'others': 0.9710847735404968, 'joy': 0.009333415888249874, 'sadness': 0.0065015507861971855, 'anger': 0.0011096030939370394, 'surprise': 0.0022052284330129623, 'disgust': 0.005643833894282579, 'fear': 0.004121606238186359}",others,"{'not ironic': 0.9490573406219482, 'ironic': 0.05094258859753609}",not ironic
"I believe that when sharing personal information with a friend, it's essential to trust their ability to handle the information responsibly and respectfully. Based on my experiences and understanding of our relationship, I am confident that my friend would treat this information with the utmost care and respect.
I would rate this statement a 4 on a scale of 0 to 5, with 0 being 'strongly disagree' and 5 being 'strongly agree'.","{'NEG': 0.0015697467606514692, 'NEU': 0.09459961950778961, 'POS': 0.9038307070732117}",POS,"{'others': 0.9404139518737793, 'joy': 0.03800606727600098, 'sadness': 0.010116747580468655, 'anger': 0.0009648965788073838, 'surprise': 0.0020524654537439346, 'disgust': 0.002925548469647765, 'fear': 0.005520365200936794}",others,"{'not ironic': 0.9494738578796387, 'ironic': 0.05052613094449043}",not ironic
