SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,80,80,40,66.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,75,80,60,71.67
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,80,60,50,63.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,100,55,78.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,75,100,60,78.33
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,75,55,60,63.33
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,95,65,83.33
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,80,100,50,76.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,80,40,55,58.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,95,55,80.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,95,95,60,83.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,60,75,60,65.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,45,80.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,100,45,78.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,50,45,51.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,80,30,70.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,85,45,75.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,75,60,35,56.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,95,35,71.67
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,90,45,71.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,65,45,53.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,85,60,78.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,100,50,80.0
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,80,95,60,78.33
