SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,90,100,60,83.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,75,100,45,73.33
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,90,100,60,83.33
4,HEALTH-ISSUES,MOCKING-BULLY,5,10,60,25.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,35,10,50,31.67
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,55,20,50,41.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,80,20,55,51.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,25,30,45,33.33
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,25,45,55,41.67
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,85,80,55,73.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,80,65,55,66.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,15,0,10,8.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,50,45,60,51.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,80,70,70,73.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,85,35,55,58.33
16,PERSONAL-VALUES,MOCKING-BULLY,5,0,10,5.0
