RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Hi, it's nice to meet you, Luis. 18 years old, born on August 11, 2006, and male. It sounds like you have a great relationship with your parents, which is wonderful. And having a best friend like Richard who has been by your side through life's ups and downs is a true blessing. Friends can often feel like family, and it's amazing to have someone you can rely on and build such a strong connection with.","{'NEG': 0.0016533815069124103, 'NEU': 0.005934259854257107, 'POS': 0.992412269115448}",POS,"{'others': 0.025899894535541534, 'joy': 0.9655723571777344, 'sadness': 0.002729253377765417, 'anger': 0.0014429930597543716, 'surprise': 0.0017051337053999305, 'disgust': 0.0011656713904812932, 'fear': 0.0014846577541902661}",joy,"{'not ironic': 0.9383484721183777, 'ironic': 0.06165150925517082}",not ironic
"Yes, I completely understand how past experiences like being picked on at school can shape your perspective and make you more empathetic towards others facing challenges. And valuing privacy is a natural response to wanting to feel safe and have control over your personal space. I'm here to answer any questions you have about my attitudes towards privacy.","{'NEG': 0.004516568034887314, 'NEU': 0.35374608635902405, 'POS': 0.6417373418807983}",POS,"{'others': 0.9563299417495728, 'joy': 0.010106184519827366, 'sadness': 0.01509548258036375, 'anger': 0.0012143345084041357, 'surprise': 0.0023945849388837814, 'disgust': 0.008361857384443283, 'fear': 0.006497615482658148}",others,"{'not ironic': 0.9421972036361694, 'ironic': 0.05780273675918579}",not ironic
"For me, on a scale of 0 to 100, the sensitivity of my sexual orientation (assuming I were homosexual) would be around 60 to 80. This information is quite sensitive to me because it pertains to my personal identity and is intimate in nature. It can have significant implications for how I am perceived and treated by others, particularly in social and professional settings. The higher end of the scale reflects the potential impact this information could have on my life and how vulnerable I would feel if it were to be shared without my consent.","{'NEG': 0.012028065510094166, 'NEU': 0.9619999527931213, 'POS': 0.02597198262810707}",NEU,"{'others': 0.03206142410635948, 'joy': 0.002757730195298791, 'sadness': 0.011891419999301434, 'anger': 0.0014502679696306586, 'surprise': 0.002205104101449251, 'disgust': 0.0040622674860060215, 'fear': 0.9455718994140625}",fear,"{'not ironic': 0.9482443928718567, 'ironic': 0.051755618304014206}",not ironic
"On a scale of 0 to 100, I would rate the sensitivity of my health issues (such as allergies or frequent headaches) to be around 20 to 40. While it's not extremely sensitive information, it's still personal and can potentially be used by others against me, especially in certain situations. For example, if others knew about my allergies, they could intentionally expose me to certain substances or foods that I'm allergic to, causing harm. Similarly, if they knew about frequent headaches, they could exploit this information to manipulate or take advantage of my vulnerability during those times.","{'NEG': 0.7604895830154419, 'NEU': 0.23579013347625732, 'POS': 0.003720204345881939}",NEG,"{'others': 0.9159961938858032, 'joy': 0.004650664981454611, 'sadness': 0.0037706776056438684, 'anger': 0.004848681390285492, 'surprise': 0.0014516026712954044, 'disgust': 0.05824613571166992, 'fear': 0.011035973206162453}",others,"{'not ironic': 0.9175101518630981, 'ironic': 0.08248987048864365}",not ironic
"On a scale of 0 to 100, I would consider my religious beliefs (assuming I were Christian or Muslim) to be around 40 to 60. Although I wouldn't consider this information highly sensitive, it can still be used by others to form judgments or biases about me. It could potentially influence how I am treated in certain social or professional settings. However, I would generally be open about my religious beliefs with close friends and family but would be more cautious about sharing it with acquaintances or strangers.","{'NEG': 0.036135442554950714, 'NEU': 0.9514942169189453, 'POS': 0.012370327487587929}",NEU,"{'others': 0.9546718597412109, 'joy': 0.006125201005488634, 'sadness': 0.0077397869899868965, 'anger': 0.0015190120320767164, 'surprise': 0.002011310076341033, 'disgust': 0.01999885030090809, 'fear': 0.00793396309018135}",others,"{'not ironic': 0.9494982361793518, 'ironic': 0.05050182342529297}",not ironic
"On a scale of 0 to 100, I would rate relationship problems (such as a partner being unfaithful) to be at the high end of sensitivity, around 80 to 100. This information is extremely personal and can have significant emotional and psychological impacts on me. It can cause feelings of hurt, betrayal, and disappointment, and it can also affect trust and confidence in a relationship. Sharing this information with others could also lead to judgment, stigma, or unwanted opinions, which is why I would consider it highly sensitive.","{'NEG': 0.4220351278781891, 'NEU': 0.567824125289917, 'POS': 0.010140698403120041}",NEU,"{'others': 0.8768444657325745, 'joy': 0.005122705828398466, 'sadness': 0.012008912861347198, 'anger': 0.003166317706927657, 'surprise': 0.002660174388438463, 'disgust': 0.09142990410327911, 'fear': 0.008767574094235897}",others,"{'not ironic': 0.9553865194320679, 'ironic': 0.04461346194148064}",not ironic
"On a scale of 0 to 100, I would rate the sensitivity of excessive demands (such as those caused by exam stress) to be around 50 to 70. This information is moderately sensitive because it pertains to stress levels and personal wellbeing, which can have a significant impact on mental and emotional health.
While sharing this information with others could potentially lead to support or understanding, it could also cause others to underestimate or dismiss my feelings, which could further exacerbate the stress. Therefore, I would be cautious about who I share this information with.","{'NEG': 0.20994684100151062, 'NEU': 0.7774586081504822, 'POS': 0.012594521045684814}",NEU,"{'others': 0.9575127959251404, 'joy': 0.007709479425102472, 'sadness': 0.006750960368663073, 'anger': 0.001388830249197781, 'surprise': 0.002070777118206024, 'disgust': 0.009096859022974968, 'fear': 0.0154701704159379}",others,"{'not ironic': 0.948625922203064, 'ironic': 0.05137404426932335}",not ironic
"On a scale of 0 to 100, I would rate financial problems (such as owing money to a classmate) to be around 30 to 50. While it's not the most sensitive information, it can still be a source of embarrassment or stress. Sharing this information with others could potentially lead to judgment, and it could also reveal aspects of my financial situation or responsibility. However, financial problems are often a common issue, and sharing them with someone I trust could also lead to understanding or even advice on how to handle the situation better.","{'NEG': 0.10491172224283218, 'NEU': 0.8691721558570862, 'POS': 0.025916190817952156}",NEU,"{'others': 0.972607433795929, 'joy': 0.006562016438692808, 'sadness': 0.003884395584464073, 'anger': 0.0012042123125866055, 'surprise': 0.001782889012247324, 'disgust': 0.007963454350829124, 'fear': 0.005995692685246468}",others,"{'not ironic': 0.9586911797523499, 'ironic': 0.041308868676424026}",not ironic
"On a scale of 0 to 100, I would rate future plans (such as wanting to study abroad) to be around 10 to 30. This information is not highly sensitive, and sharing it with others could be seen as a positive step towards achieving a goal or dream. However, it does provide insight into my personal aspirations and goals, and some people might use this information in an inappropriate manner, such as spreading rumors or making assumptions without my consent. Nonetheless, sharing my future plans with friends and family who support me could also bring positive outcomes, such as advice or encouragement.","{'NEG': 0.011762057431042194, 'NEU': 0.5140849947929382, 'POS': 0.47415292263031006}",NEU,"{'others': 0.9758661389350891, 'joy': 0.009680119343101978, 'sadness': 0.0022946165408939123, 'anger': 0.0008732507121749222, 'surprise': 0.0016907190438359976, 'disgust': 0.0063851564191281796, 'fear': 0.0032099145464599133}",others,"{'not ironic': 0.9554135203361511, 'ironic': 0.04458644986152649}",not ironic
"On a scale of 0 to 100, I would rate personal values (such as being a committed vegetarian) to be around 20 to 40. While this information is not highly sensitive, it can still reveal aspects of my beliefs and principles, which can be perceived as personal. Sharing this information with others could lead to both positive and negative outcomes. On the one hand, it might lead to respect or understanding, but on the other hand, it could also lead to judgment, criticism, or disagreement, especially if others have different values or beliefs.","{'NEG': 0.0076068853959441185, 'NEU': 0.9161736965179443, 'POS': 0.07621946185827255}",NEU,"{'others': 0.9402463436126709, 'joy': 0.00562881538644433, 'sadness': 0.00914411898702383, 'anger': 0.0017096574883908033, 'surprise': 0.0023622193839401007, 'disgust': 0.0353127084672451, 'fear': 0.005596078000962734}",others,"{'not ironic': 0.9562222361564636, 'ironic': 0.043777767568826675}",not ironic
