SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,75,55,73.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,80,85,50,71.67
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,60,60,40,53.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,85,80,86.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,90,85,55,76.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,60,85,40,61.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,70,100,65,78.33
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,100,50,75.0
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,50,65,50,55.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,100,80,86.67
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,80,95,75,83.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,65,75,30,56.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,80,93.33
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,75,91.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,55,100,30,61.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,60,100,86.67
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,80,90,81.67
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,55,30,45.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,60,80,80.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,70,100,81.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,65,70,20,51.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,70,100,100,90.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,100,90,88.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,75,65,20,53.33
