SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,85,95,93.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,85,45,85,71.67
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,95,45,100,80.0
4,HEALTH-ISSUES,MOCKING-BULLY,0,5,0,1.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,0,0,75,25.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,0,40,80,40.0
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,80,40,80,66.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,5,0,1.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,0,30,70,33.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,0,40,75,38.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,80,60,80,73.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,0,10,0,3.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,100,55,80,78.33
14,PERSONAL-VALUES,CONCERNED-PARENTS,90,80,80,83.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,100,60,80,80.0
16,PERSONAL-VALUES,MOCKING-BULLY,0,0,0,0.0
