SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,80,95,55,76.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,80,90,35,68.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,65,55,45,55.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,75,90,60,75.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,80,80,65,75.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,70,85,50,68.33
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,90,70,80.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,80,75,75,76.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,80,70,80,76.67
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,60,95,85,80.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,70,75,80,75.0
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,70,90,75,78.33
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,50,95,80.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,90,90,86.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,85,65,70.0
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,75,80,85,80.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,75,85,78.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,65,30,75,56.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,80,90,85.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,95,80,85.0
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,40,90,75,68.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,50,100,80.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,90,80,88.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,55,75,63.33
