SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,95,90,85,90.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,85,95,75,85.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,90,95,70,85.0
4,HEALTH-ISSUES,MOCKING-BULLY,10,10,25,15.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,5,95,25,41.67
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,40,55,25,40.0
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,55,75,25,51.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,15,10,5,10.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,0,0,15,5.0
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,20,25,15,20.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,75,70,45,63.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,5,0,15,6.67
13,PERSONAL-VALUES,EXAMINING-DOCTOR,20,90,50,53.33
14,PERSONAL-VALUES,CONCERNED-PARENTS,85,80,75,80.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,90,80,80,83.33
16,PERSONAL-VALUES,MOCKING-BULLY,5,5,10,6.67
