RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"That's wonderful, LuisSantos123. Your relationship with your parents and your best friend, Richard, seems incredibly valuable and supportive. It's great to have people in our lives who we can rely on during difficult times. How long have you been friends with Richard?","{'NEG': 0.0016378113068640232, 'NEU': 0.005857919342815876, 'POS': 0.9925042390823364}",POS,"{'others': 0.07570087164640427, 'joy': 0.9152571558952332, 'sadness': 0.002935260534286499, 'anger': 0.0012862482108175755, 'surprise': 0.0017910917522385716, 'disgust': 0.0012668182607740164, 'fear': 0.0017625810578465462}",joy,"{'not ironic': 0.0491185337305069, 'ironic': 0.9508814811706543}",ironic
"I understand, and I'm here to answer your questions about privacy. It sounds like your experiences in elementary school, where you faced challenges with classmates, had a significant impact on your perspective towards privacy and understanding of others' struggles. Feeling safe and having personal space are indeed important for everyone. Please feel free to go ahead and ask your questions about privacy.","{'NEG': 0.0022829342633485794, 'NEU': 0.3215390741825104, 'POS': 0.676177978515625}",POS,"{'others': 0.9631951451301575, 'joy': 0.01261212769895792, 'sadness': 0.009281556122004986, 'anger': 0.0011488451855257154, 'surprise': 0.0020601609721779823, 'disgust': 0.0042876205407083035, 'fear': 0.007414588239043951}",others,"{'not ironic': 0.8848703503608704, 'ironic': 0.11512960493564606}",not ironic
"In this scenario, sharing your sexual orientation with your best friend, whom you trust and rely on for emotional support, could be both vulnerable and liberating. It's an important step towards expressing your true self and allowing your friend to understand you better. They can provide comfort, understanding, and a sense of belonging, which can be incredibly meaningful. At the same time, there might be some fears or apprehensions about how they will respond or whether this disclosure could change the nature of the friendship. Overall, the decision to share this information can lead to deeper connection and support but also involves some level of uncertainty.","{'NEG': 0.0016127312555909157, 'NEU': 0.07415485382080078, 'POS': 0.9242323040962219}",POS,"{'others': 0.9050901532173157, 'joy': 0.0067977760918438435, 'sadness': 0.00522257387638092, 'anger': 0.0013775760307908058, 'surprise': 0.006205645855516195, 'disgust': 0.013304361142218113, 'fear': 0.06200197711586952}",others,"{'not ironic': 0.9503934383392334, 'ironic': 0.0496065728366375}",not ironic
"I would personally rate this statement a 4, as I feel like sharing this type of information with a good friend would help them better understand me and be supportive/helpful. 

","{'NEG': 0.0010621860856190324, 'NEU': 0.0157096479088068, 'POS': 0.9832282066345215}",POS,"{'others': 0.12837015092372894, 'joy': 0.8626188039779663, 'sadness': 0.0020750148687511683, 'anger': 0.0014624837785959244, 'surprise': 0.002344624837860465, 'disgust': 0.0010873833671212196, 'fear': 0.00204158085398376}",joy,"{'not ironic': 0.9575406908988953, 'ironic': 0.04245929419994354}",not ironic
"I score a 3 on a scale of 0 to 5 for this statement, as I believe my best friend has the best intentions for my personal information. However, trust is not 100% and I may still have some concerns about the other person's ability to keep it confidential and not share it. 

","{'NEG': 0.058511652052402496, 'NEU': 0.8588173985481262, 'POS': 0.08267094194889069}",NEU,"{'others': 0.971264123916626, 'joy': 0.011263303458690643, 'sadness': 0.003929552622139454, 'anger': 0.0009061718010343611, 'surprise': 0.0026360368356108665, 'disgust': 0.0033101956360042095, 'fear': 0.006690612528473139}",others,"{'not ironic': 0.9518113732337952, 'ironic': 0.048188645392656326}",not ironic
"In this situation, disclosing personal information, like sexual orientation, to a close friend for emotional support is a legitimate and often necessary step. This type of disclosure can lead to increased understanding and empathy, strengthening the bond between friends. Therefore, on a scale from 0 (strongly disagree) to 5 (strongly agree), I would rate my agreement with the statement as 4 (strongly agree), as I believe the purpose for disclosing personal information for emotional support is legitimate.","{'NEG': 0.001574016991071403, 'NEU': 0.11673978716135025, 'POS': 0.8816861510276794}",POS,"{'others': 0.969885528087616, 'joy': 0.006512238644063473, 'sadness': 0.006266979966312647, 'anger': 0.0012986145447939634, 'surprise': 0.0021972539834678173, 'disgust': 0.010467108339071274, 'fear': 0.00337234023027122}",others,"{'not ironic': 0.956798791885376, 'ironic': 0.04320121556520462}",not ironic
"While it is reasonable to assume that many people might be comfortable sharing this type of personal information with a trusted friend in a supportive context, it depends on various factors, including the individual's personality and the nature of the relationship. Therefore, I would rate my agreement level with the statement as a 3, as I believe that while some people might be comfortable, others might be hesitant or less willing to disclose such information due to various reasons, such as fear of judgment, potential backlash, or simply preferring to keep such matters private.","{'NEG': 0.008379689417779446, 'NEU': 0.9500262141227722, 'POS': 0.04159408062696457}",NEU,"{'others': 0.9663207530975342, 'joy': 0.006368626374751329, 'sadness': 0.0071096778847277164, 'anger': 0.0009560736361891031, 'surprise': 0.0027542931493371725, 'disgust': 0.011493675410747528, 'fear': 0.004996961448341608}",others,"{'not ironic': 0.9576180577278137, 'ironic': 0.0423818938434124}",not ironic
"In this scenario, sharing your sexual orientation with a friend who can provide emotional support can be both vulnerable and liberating. On one hand, it allows you to express your true self and gives your friend the opportunity to offer empathy and acceptance, strengthening the bond between you. On the other hand, there may be feelings of nervousness or uncertainty about how the friend will react, as sharing personal information can sometimes lead to unexpected responses. Overall, the decision to open up about one's sexual orientation to a friend is a significant step that can result in deeper connection and understanding, yet also involves taking a risk.","{'NEG': 0.002261853078380227, 'NEU': 0.26428520679473877, 'POS': 0.7334529757499695}",POS,"{'others': 0.8435041308403015, 'joy': 0.020517505705356598, 'sadness': 0.004978911951184273, 'anger': 0.0014723945641890168, 'surprise': 0.009544461034238338, 'disgust': 0.003437603823840618, 'fear': 0.11654509603977203}",others,"{'not ironic': 0.9550031423568726, 'ironic': 0.04499686509370804}",not ironic
"4 - Agree

In this scenario, sharing one's sexual orientation with a friend for emotional support is generally considered appropriate and necessary. It allows for understanding.","{'NEG': 0.0018757515354081988, 'NEU': 0.23427191376686096, 'POS': 0.7638524174690247}",POS,"{'others': 0.9766681790351868, 'joy': 0.008606268092989922, 'sadness': 0.003619915107265115, 'anger': 0.0009162456262856722, 'surprise': 0.0026562681887298822, 'disgust': 0.0040036821737885475, 'fear': 0.0035293656401336193}",others,"{'not ironic': 0.9441554546356201, 'ironic': 0.055844515562057495}",not ironic
"I rate this a 4 because I feel as if my friend would provide unconditional support and treat this sensitive information with the utmost respect. Even if they were unsure of what to say or how to react, I feel like my trust in them allows for these moments to pass without judgment. 

","{'NEG': 0.0014277216978371143, 'NEU': 0.020483311265707016, 'POS': 0.978088915348053}",POS,"{'others': 0.7447866201400757, 'joy': 0.23914462327957153, 'sadness': 0.006645287852734327, 'anger': 0.0011639016447588801, 'surprise': 0.0025260148104280233, 'disgust': 0.001766586909070611, 'fear': 0.003966921009123325}",others,"{'not ironic': 0.9589081406593323, 'ironic': 0.041091904044151306}",not ironic
