SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,70,65,85,73.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,80,55,55,63.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,35,20,60,38.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,80,55,75.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,95,80,55,76.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,45,30,45,40.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,100,40,76.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,85,100,50,78.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,55,40,55,50.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,100,70,86.67
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,80,95,80,85.0
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,30,50,60,46.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,45,78.33
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,90,60,81.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,75,60,45,60.0
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,80,60,80.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,100,60,55,71.67
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,30,60,60,50.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,75,80,55,70.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,95,55,75.0
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,40,40,60,46.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,55,85.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,70,60,70.0
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,45,40,55,46.67
