SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,95,70,88.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,100,100,70,90.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,100,25,75.0
4,HEALTH-ISSUES,MOCKING-BULLY,15,0,20,11.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,10,0,35,15.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,80,70,50,66.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,75,0,50,41.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,0,25,8.33
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,0,0,55,18.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,0,10,60,23.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,65,5,60,43.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,5,0,10,5.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,45,0,50,31.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,75,0,35,36.67
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,70,0,80,50.0
16,PERSONAL-VALUES,MOCKING-BULLY,0,0,10,3.33
