RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"That's great to hear, Luis. It's always wonderful to have supportive parents and a close friend like Richard. Strong relationships are essential for our well-being. How has Richard supported you during tough times?","{'NEG': 0.0016815699636936188, 'NEU': 0.0059520173817873, 'POS': 0.992366373538971}",POS,"{'others': 0.04826880246400833, 'joy': 0.9424391984939575, 'sadness': 0.003159688087180257, 'anger': 0.0015982800396159291, 'surprise': 0.0015640142373740673, 'disgust': 0.0013279548147693276, 'fear': 0.0016420424217358232}",joy,"{'not ironic': 0.8767290115356445, 'ironic': 0.12327101081609726}",not ironic
"I understand your experiences in school. It's great that you've learned from them and developed empathy for your friends. As for your questions about privacy, feel free to ask. I'll try my best to answer them!","{'NEG': 0.0010708229383453727, 'NEU': 0.015444206073880196, 'POS': 0.9834849238395691}",POS,"{'others': 0.31351587176322937, 'joy': 0.6752960681915283, 'sadness': 0.002989564323797822, 'anger': 0.0017061801627278328, 'surprise': 0.002397498581558466, 'disgust': 0.0013831728138029575, 'fear': 0.002711688634008169}",joy,"{'not ironic': 0.9408976435661316, 'ironic': 0.05910233035683632}",not ironic
"On a scale of 0 to 100 with 0 being not sensitive at all and 100 being extremely sensitive, I would rate my sexual orientation, if I had one, at 75. This rating is based on the potential societal stigma, judgment, and consequences associated with disclosing such personal information. It's important to me to have control over who knows and understands my personal life.","{'NEG': 0.07730657607316971, 'NEU': 0.8997523784637451, 'POS': 0.022941116243600845}",NEU,"{'others': 0.9545547366142273, 'joy': 0.005843528546392918, 'sadness': 0.009610998444259167, 'anger': 0.0015479689463973045, 'surprise': 0.002623866545036435, 'disgust': 0.01828286424279213, 'fear': 0.0075360978953540325}",others,"{'not ironic': 0.9471038579940796, 'ironic': 0.0528961718082428}",not ironic
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate my health information (allergies or frequent headaches) at a 90. This rating is based on the importance of personal well-being and privacy regarding health matters. Such information can be sensitive due to potential discrimination, judgment, or unauthorized use by others.","{'NEG': 0.030719468370079994, 'NEU': 0.9165800213813782, 'POS': 0.05270053818821907}",NEU,"{'others': 0.9638559818267822, 'joy': 0.008420093916356564, 'sadness': 0.0075187357142567635, 'anger': 0.0016249577747657895, 'surprise': 0.0018737249774858356, 'disgust': 0.009681063704192638, 'fear': 0.007025510538369417}",others,"{'not ironic': 0.955634593963623, 'ironic': 0.04436544328927994}",not ironic
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate my religious beliefs (for example, Christian or Islamic) at a 100. This rating is based on the strong personal, cultural, and sometimes societal connections associated with religious beliefs. Revealing one's religious beliefs can have significant implications for one's social relationships, values, and sense of belonging, making it highly sensitive information.","{'NEG': 0.02596932463347912, 'NEU': 0.9024431705474854, 'POS': 0.07158756256103516}",NEU,"{'others': 0.9127704501152039, 'joy': 0.0052260058000683784, 'sadness': 0.01029860321432352, 'anger': 0.0026108708698302507, 'surprise': 0.002306044101715088, 'disgust': 0.05946085602045059, 'fear': 0.0073272124864161015}",others,"{'not ironic': 0.9526247978210449, 'ironic': 0.04737520590424538}",not ironic
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate relationship problems (such as a partner being unfaithful) at a 95. This rating is based on the emotional intensity and trust involved in romantic relationships. Such information is highly sensitive because it can significantly impact one's emotions, self-worth, and the stability of their relationship, potentially leading to feelings of betrayal, hurt, and vulnerability.","{'NEG': 0.2149682343006134, 'NEU': 0.7656558156013489, 'POS': 0.019375892356038094}",NEU,"{'others': 0.9489825367927551, 'joy': 0.005570114124566317, 'sadness': 0.011132507584989071, 'anger': 0.001804239465855062, 'surprise': 0.0025382163003087044, 'disgust': 0.021283714100718498, 'fear': 0.00868869200348854}",others,"{'not ironic': 0.9509946703910828, 'ironic': 0.049005378037691116}",not ironic
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate excessive demands (such as exam stress) at a 90. This rating is based on the emotional and mental distress that comes with excessive stress, which can significantly impact one's well-being, performance, and mental health. Disclosure of such information could lead to judgment, misunderstanding, or concern from others, making it highly sensitive.","{'NEG': 0.2450418621301651, 'NEU': 0.7358661890029907, 'POS': 0.019091947004199028}",NEU,"{'others': 0.6215441823005676, 'joy': 0.00463136238977313, 'sadness': 0.01361316442489624, 'anger': 0.004929687827825546, 'surprise': 0.002997936215251684, 'disgust': 0.34339088201522827, 'fear': 0.008892812766134739}",others,"{'not ironic': 0.9469929933547974, 'ironic': 0.053006988018751144}",not ironic
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate financial problems (such as owing money to a classmate) at a 75. This rating is based on the potential judgment, embarrassment, or strain it can cause in social relationships. Disclosing such information could lead to awkward situations or changes in how others perceive one's financial status, making it sensitive but less so than other highly personal matters.","{'NEG': 0.17414379119873047, 'NEU': 0.8095158338546753, 'POS': 0.01634032092988491}",NEU,"{'others': 0.9214890599250793, 'joy': 0.004731996450573206, 'sadness': 0.0066254157572984695, 'anger': 0.0022822809405624866, 'surprise': 0.002338305115699768, 'disgust': 0.05402960628271103, 'fear': 0.008503377437591553}",others,"{'not ironic': 0.9508389234542847, 'ironic': 0.049161043018102646}",not ironic
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate future plans (such as studying abroad) at a 65. This rating is based on the excitement and potential impact these plans can have on one's life. However, there may be elements of competition or uncertainty involved, which could lead to feelings of anxiety or pressure from others. While not as sensitive as highly personal information, future plans can still be sensitive as they involve personal development and aspirations.","{'NEG': 0.002884072717279196, 'NEU': 0.2955247759819031, 'POS': 0.7015911340713501}",POS,"{'others': 0.7729405164718628, 'joy': 0.032588280737400055, 'sadness': 0.004069549031555653, 'anger': 0.0017261983593925834, 'surprise': 0.005523589439690113, 'disgust': 0.0031010278034955263, 'fear': 0.18005084991455078}",others,"{'not ironic': 0.960444986820221, 'ironic': 0.03955500200390816}",not ironic
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate personal values (such as being a committed vegetarian) at a 60. This rating is based on the personal and moral implications of these values. While this information isn't as sensitive as other more deeply personal or intimate details, it can still be sensitive due to concerns about judgment, misconceptions, or potential conflicts with others' beliefs and values.","{'NEG': 0.03476807847619057, 'NEU': 0.9335007667541504, 'POS': 0.03173114359378815}",NEU,"{'others': 0.8845478892326355, 'joy': 0.00488070584833622, 'sadness': 0.007741747889667749, 'anger': 0.002769745420664549, 'surprise': 0.0027161245234310627, 'disgust': 0.0920804888010025, 'fear': 0.005263371858745813}",others,"{'not ironic': 0.9541102647781372, 'ironic': 0.045889776200056076}",not ironic
