SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,70,85,55,70.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,75,75,70,73.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,50,80,50,60.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,80,70,78.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,80,65,50,65.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,45,75,50,56.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,90,60,81.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,90,80,50,73.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,40,80,40,53.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,80,35,70.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,55,80,45,60.0
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,55,80,40,58.33
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,80,40,71.67
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,80,60,71.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,85,80,45,70.0
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,80,40,71.67
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,80,40,70.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,70,55,50,58.33
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,80,80,45,68.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,100,80,40,73.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,80,40,56.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,80,55,78.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,80,45,73.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,70,80,45,65.0
