SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,80,80,86.67
2,HEALTH-ISSUES,CONCERNED-PARENTS,90,80,70,80.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,80,55,78.33
4,HEALTH-ISSUES,MOCKING-BULLY,55,10,5,23.33
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,40,40,20,33.33
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,100,20,50,56.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,85,20,60,55.0
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,5,10,0,5.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,80,30,35,48.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,50,45,60,51.67
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,45,35,65,48.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,25,5,5,11.67
13,PERSONAL-VALUES,EXAMINING-DOCTOR,70,55,55,60.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,70,90,50,70.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,80,90,65,78.33
16,PERSONAL-VALUES,MOCKING-BULLY,0,35,25,20.0
