SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,70,80,55,68.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,75,75,70,73.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,55,70,50,58.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,80,70,78.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,80,55,50,61.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,50,70,50,56.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,85,60,80.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,90,50,50,63.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,40,55,40,45.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,50,35,60.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,65,65,45,58.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,80,50,40,56.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,50,40,58.33
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,85,45,45,58.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,85,45,45,58.33
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,75,40,70.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,85,45,45,58.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,70,45,50,55.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,60,45,66.67
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,100,55,40,65.0
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,70,60,40,56.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,60,55,71.67
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,60,45,66.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,65,70,45,60.0
