SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,80,80,86.67
2,HEALTH-ISSUES,CONCERNED-PARENTS,90,80,70,80.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,80,55,78.33
4,HEALTH-ISSUES,MOCKING-BULLY,55,10,5,23.33
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,60,40,20,40.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,100,20,50,56.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,85,20,60,55.0
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,5,10,0,5.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,45,30,35,36.67
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,50,45,60,51.67
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,45,35,65,48.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,25,5,5,11.67
13,PERSONAL-VALUES,EXAMINING-DOCTOR,80,45,55,60.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,70,85,65,73.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,65,90,55,70.0
16,PERSONAL-VALUES,MOCKING-BULLY,5,20,25,16.67
