RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"It's great to meet you, Luis. It sounds like you have a strong bond with your parents and a solid friendship with Richard. How did you two meet?","{'NEG': 0.001723158173263073, 'NEU': 0.0058785611763596535, 'POS': 0.992398202419281}",POS,"{'others': 0.06095400080084801, 'joy': 0.9307804107666016, 'sadness': 0.001485621789470315, 'anger': 0.001596367103047669, 'surprise': 0.002677099546417594, 'disgust': 0.001069220365025103, 'fear': 0.0014373998856171966}",joy,"{'not ironic': 0.7201765775680542, 'ironic': 0.2798234224319458}",not ironic
"Sure, I'm happy to answer your questions about privacy. What would you like to know?","{'NEG': 0.0015153320273384452, 'NEU': 0.16419775784015656, 'POS': 0.8342869281768799}",POS,"{'others': 0.967776894569397, 'joy': 0.02048908919095993, 'sadness': 0.0010830535320565104, 'anger': 0.0016317152185365558, 'surprise': 0.004918360151350498, 'disgust': 0.0022229410242289305, 'fear': 0.0018779091769829392}",others,"{'not ironic': 0.5609295964241028, 'ironic': 0.4390704035758972}",not ironic
"Considering my sensitive nature, I would rate my sexual orientation as follows:

This information is one of the most sensitive aspects of my life. Not only is it deeply personal, but it also has a significant impact on my social interactions, relationships, identity, and personal safety.","{'NEG': 0.001567423460073769, 'NEU': 0.15015177428722382, 'POS': 0.8482807874679565}",POS,"{'others': 0.9636355042457581, 'joy': 0.008592917583882809, 'sadness': 0.008349405601620674, 'anger': 0.0014061921974644065, 'surprise': 0.002511821687221527, 'disgust': 0.006168557330965996, 'fear': 0.009335626848042011}",others,"{'not ironic': 0.9580088257789612, 'ironic': 0.041991107165813446}",not ironic
"After careful consideration, I can confirm that I am confident in my initial rating of 100 for the sensitivity of my sexual orientation. This number reflects the deep personal importance and vulnerability associated with this aspect of my identity.","{'NEG': 0.002525731222704053, 'NEU': 0.19589771330356598, 'POS': 0.8015766143798828}",POS,"{'others': 0.9719959497451782, 'joy': 0.009523838758468628, 'sadness': 0.004587334580719471, 'anger': 0.0011265454813838005, 'surprise': 0.003634244902059436, 'disgust': 0.003910866566002369, 'fear': 0.005221111699938774}",others,"{'not ironic': 0.9318912029266357, 'ironic': 0.06810881197452545}",not ironic
"Health issues like allergies and headaches can be highly personal and, therefore, sensitive. I would rate their level of sensitivity at around 60. While they are not the most sensitive aspects of my life, they still hold personal and sometimes even embarrassing implications. For instance, someone knowing about my frequent headaches might lead to unsolicited advice or unwanted discussions. Additionally, certain allergies can impact my daily life and, if publicly known, could be fodder for mockery or insensitive jokes.","{'NEG': 0.5542166829109192, 'NEU': 0.43760839104652405, 'POS': 0.008174994960427284}",NEG,"{'others': 0.633186399936676, 'joy': 0.004679284989833832, 'sadness': 0.008858381770551205, 'anger': 0.005804008804261684, 'surprise': 0.002482114126905799, 'disgust': 0.3339080214500427, 'fear': 0.011081789620220661}",others,"{'not ironic': 0.9357615113258362, 'ironic': 0.06423850357532501}",not ironic
"After further contemplation, I am confident in my initial rating of 60. While health issues like allergies and frequent headaches are indeed sensitive, they are not the most sensitive aspect of my life. They do, however, hold personal importance and can have some impact on my daily activities and interactions. This rating reflects the balance between personal and societal sensitivities related to health matters.","{'NEG': 0.0067915963008999825, 'NEU': 0.6785560846328735, 'POS': 0.31465235352516174}",NEU,"{'others': 0.9651673436164856, 'joy': 0.008358965627849102, 'sadness': 0.006399067584425211, 'anger': 0.0013499270426109433, 'surprise': 0.0025742172729223967, 'disgust': 0.0056334249675273895, 'fear': 0.010517149232327938}",others,"{'not ironic': 0.9595977663993835, 'ironic': 0.04040226340293884}",not ironic
"My religious beliefs are a significant part of my identity, so I would rank them as 100 on the sensitivity scale. My faith influences my values, decisions, and worldview, making it highly personal and intimately tied to my core principles. Public knowledge of my religious beliefs can impact how others perceive me and potentially lead to misunderstandings or judgment. Given the deeply personal nature of these beliefs, a rating of 100 accurately reflects their highest sensitivity to me.","{'NEG': 0.004409448243677616, 'NEU': 0.6752459406852722, 'POS': 0.32034459710121155}",NEU,"{'others': 0.9279186129570007, 'joy': 0.005683484952896833, 'sadness': 0.016856584697961807, 'anger': 0.00230229995213449, 'surprise': 0.0026575662195682526, 'disgust': 0.030714156106114388, 'fear': 0.01386728323996067}",others,"{'not ironic': 0.9517706036567688, 'ironic': 0.04822938144207001}",not ironic
"After further reflection and considering the profound impact my religious beliefs have on my life, I can confidently confirm that I am sure about my initial rating of 100 for the sensitivity of this information. My faith shapes my morals, values, relationships, and personal identity. It is deeply intimate and personal to me, and the repercussions of its public knowledge are significant. A rating of 100 is warranted given the profound significance and the vulnerability associated with sharing my religious beliefs.","{'NEG': 0.0033062780275940895, 'NEU': 0.4792611002922058, 'POS': 0.517432689666748}",POS,"{'others': 0.9477753639221191, 'joy': 0.0059944577515125275, 'sadness': 0.013617274351418018, 'anger': 0.0013790619559586048, 'surprise': 0.003439792664721608, 'disgust': 0.012070518918335438, 'fear': 0.01572357676923275}",others,"{'not ironic': 0.9509395956993103, 'ironic': 0.04906041920185089}",not ironic
"Relationship problems, particularly those involving a partner's infidelity, are highly sensitive and personal matters. I would rate this information as 100 on the sensitivity scale. The betrayal and emotional turmoil that come with such situations can deeply affect one's trust, self-esteem, and overall sense of security.","{'NEG': 0.2010967880487442, 'NEU': 0.7807901501655579, 'POS': 0.018113071098923683}",NEU,"{'others': 0.6592842936515808, 'joy': 0.004247696604579687, 'sadness': 0.017347687855362892, 'anger': 0.004565164912492037, 'surprise': 0.0034027996007353067, 'disgust': 0.29979997873306274, 'fear': 0.011352344416081905}",others,"{'not ironic': 0.9511826038360596, 'ironic': 0.04881734773516655}",not ironic
"After careful consideration, I can confirm without a doubt that my initial rating of 100 remains my final rating. Infidelity in a relationship is a deeply personal and sensitive issue that can cause tremendous emotional pain and trust issues. The betrayal and heartbreak that come with such situations make this information exceptionally delicate. Given the profound impact on one's well-being, both emotionally and mentally, a rating of 100 accurately reflects the utmost sensitivity of this particular matter.","{'NEG': 0.1403568685054779, 'NEU': 0.742562472820282, 'POS': 0.11708071827888489}",NEU,"{'others': 0.902656614780426, 'joy': 0.0048963893204927444, 'sadness': 0.0174966249614954, 'anger': 0.002371814800426364, 'surprise': 0.002953401766717434, 'disgust': 0.06268095225095749, 'fear': 0.0069440994411706924}",others,"{'not ironic': 0.9437710642814636, 'ironic': 0.05622892454266548}",not ironic
