SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,95,75,80,83.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,90,65,70,75.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,80,70,35,61.67
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,60,65,68.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,75,70,40,61.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,75,75,60,70.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,60,45,61.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,80,70,60,70.0
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,75,50,55,60.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,65,70,55,63.33
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,75,70,60,68.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,65,60,55,60.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,55,55,65.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,55,55,60.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,75,65,45,61.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,75,55,75,68.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,65,50,65,60.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,65,55,70,63.33
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,70,50,45,55.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,50,60,68.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,75,50,50,58.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,65,55,70.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,55,50,61.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,75,45,50,56.67
