SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,65,45,65,58.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,65,0,65,43.33
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,65,0,65,43.33
4,HEALTH-ISSUES,MOCKING-BULLY,40,0,25,21.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,60,0,10,23.33
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,50,0,35,28.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,55,0,10,21.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,40,0,15,18.33
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,40,15,15,23.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,40,15,45,33.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,50,15,20,28.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,15,15,30,20.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,0,100,25,41.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,60,95,55,70.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,30,55,75,53.33
16,PERSONAL-VALUES,MOCKING-BULLY,30,20,30,26.67
