SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,75,85,85,81.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,55,55,65,58.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,40,15,30,28.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,85,85,85.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,55,50,50,51.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,30,25,25,26.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,70,70,45,61.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,45,35,25,35.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,70,70,50,63.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,45,40,20,35.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,95,100,95.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,70,60,73.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,45,25,25,31.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,80,90,95,88.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,55,70,50,58.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,30,25,25,26.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,70,50,66.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,30,25,38.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,85,70,65,73.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,45,25,30,33.33
