SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,95,95,95,95.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,85,80,75,80.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
4,HEALTH-ISSUES,MOCKING-BULLY,15,10,10,11.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,40,45,20,35.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,85,85,60,76.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,100,100,95,98.33
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,10,15,10,11.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,45,50,35,43.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,85,80,85,83.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,15,15,10,13.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,55,80,70,68.33
14,PERSONAL-VALUES,CONCERNED-PARENTS,85,80,90,85.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
16,PERSONAL-VALUES,MOCKING-BULLY,15,15,10,13.33
