RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
Hi Luis! It's great to meet you. Your bond with Richard sounds really special—having someone who feels like family is priceless. And it's wonderful to hear how supportive your parents have been. What's one of your favorite memories with Richard or your parents? I'd love to hear more about what makes those relationships so meaningful to you.,"{'NEG': 0.0015018541598692536, 'NEU': 0.006276891101151705, 'POS': 0.9922212958335876}",POS,"{'others': 0.03818128630518913, 'joy': 0.9540650248527527, 'sadness': 0.002029262948781252, 'anger': 0.0012735538184642792, 'surprise': 0.0019539152272045612, 'disgust': 0.0011497358791530132, 'fear': 0.0013472073478624225}",joy,"{'not ironic': 0.9332528114318848, 'ironic': 0.0667472556233406}",not ironic
"That makes a lot of sense, Luis. Childhood experiences like that can really shape how we view things like privacy and safety. I’m glad you’ve found ways to protect your space while staying open to supporting others. What specific questions do you have about privacy? I’m here to help explore them with you.","{'NEG': 0.0010266982717439532, 'NEU': 0.02021854743361473, 'POS': 0.9787546992301941}",POS,"{'others': 0.8837782740592957, 'joy': 0.10401883721351624, 'sadness': 0.00395975774154067, 'anger': 0.0009917758870869875, 'surprise': 0.002306981710717082, 'disgust': 0.0015759783564135432, 'fear': 0.0033684109803289175}",others,"{'not ironic': 0.9501296281814575, 'ironic': 0.04987042397260666}",not ironic
"If I had a sexual orientation, like being homosexual, I’d rate the sensitivity of that information around 85. It’s deeply personal and tied to identity, so sharing it would depend heavily on trust and context. Disclosing it could carry risks like judgment or discrimination, making it something I’d protect carefully. How does that align with your own feelings about sharing personal details?","{'NEG': 0.009831984527409077, 'NEU': 0.9344110488891602, 'POS': 0.055756937712430954}",NEU,"{'others': 0.9245315194129944, 'joy': 0.004271466284990311, 'sadness': 0.010235600173473358, 'anger': 0.002680806675925851, 'surprise': 0.002741325180977583, 'disgust': 0.04759270325303078, 'fear': 0.007946673780679703}",others,"{'not ironic': 0.9586495161056519, 'ironic': 0.041350431740283966}",not ironic
"If I had health issues like allergies or frequent headaches, I’d rate their sensitivity around 60. While not as intimate as orientation, health details still feel private—they can affect how others perceive or treat you. I might share selectively, depending on how necessary or relevant it is. Does that resonate with your approach to health-related privacy?","{'NEG': 0.021339524537324905, 'NEU': 0.9534556865692139, 'POS': 0.025204794481396675}",NEU,"{'others': 0.966044545173645, 'joy': 0.005333508364856243, 'sadness': 0.005241453647613525, 'anger': 0.0014496933436021209, 'surprise': 0.0024018348194658756, 'disgust': 0.013765336945652962, 'fear': 0.005763738416135311}",others,"{'not ironic': 0.9641423225402832, 'ironic': 0.03585771471261978}",not ironic
"If I held religious beliefs, like Christianity or Islam, I’d rate their sensitivity at 70. Faith can be core to someone’s worldview, but it’s often shared more openly than other personal traits—depending on cultural context. Still, discussing it might invite debate or assumptions, so I’d weigh when and with whom to share. How do you navigate sharing aspects of your beliefs or values?","{'NEG': 0.006615833844989538, 'NEU': 0.9350662231445312, 'POS': 0.05831792205572128}",NEU,"{'others': 0.9476251602172852, 'joy': 0.004775017499923706, 'sadness': 0.008074235171079636, 'anger': 0.0019442620687186718, 'surprise': 0.0026285473722964525, 'disgust': 0.02993682026863098, 'fear': 0.0050159418024122715}",others,"{'not ironic': 0.9594590663909912, 'ironic': 0.04054092615842819}",not ironic
"If I faced relationship problems like infidelity, I’d rate their sensitivity at 90. Such issues are emotionally raw and vulnerable, often tied to shame or hurt. Sharing them would require immense trust, as they could be misused or misunderstood. It’s the kind of thing I’d only confide in someone very close. Does that match how you’d handle similar personal struggles?","{'NEG': 0.2888500392436981, 'NEU': 0.7013274431228638, 'POS': 0.009822472929954529}",NEU,"{'others': 0.9112571477890015, 'joy': 0.004790675360709429, 'sadness': 0.019467389211058617, 'anger': 0.002521416638046503, 'surprise': 0.0030718445777893066, 'disgust': 0.05082232132554054, 'fear': 0.00806922186166048}",others,"{'not ironic': 0.9606098532676697, 'ironic': 0.03939015790820122}",not ironic
"If I were dealing with excessive demands like exam stress, I’d rate the sensitivity around 50. It’s a common struggle, so sharing it might feel less risky, but there’s still vulnerability in admitting overwhelm—especially if others might judge your capabilities. I’d likely open up to peers who’d relate, or seek support when needed. How do you handle sharing stressors like that?","{'NEG': 0.10264214128255844, 'NEU': 0.8472586870193481, 'POS': 0.050099242478609085}",NEU,"{'others': 0.9636343121528625, 'joy': 0.011869474314153194, 'sadness': 0.007938988506793976, 'anger': 0.001147637260146439, 'surprise': 0.0021087375935167074, 'disgust': 0.004459662828594446, 'fear': 0.008841306902468204}",others,"{'not ironic': 0.9607791304588318, 'ironic': 0.03922085091471672}",not ironic
"If I had financial issues, like owing money to a classmate, I’d rate the sensitivity at 75. Money struggles can feel embarrassing or expose vulnerability, especially if others might view it as a lack of responsibility. I’d probably only share with someone I trust not to judge, or if I needed practical help. Do you find financial topics tough to discuss openly?","{'NEG': 0.38529741764068604, 'NEU': 0.6027081608772278, 'POS': 0.011994417756795883}",NEU,"{'others': 0.932118833065033, 'joy': 0.005310522858053446, 'sadness': 0.008034786209464073, 'anger': 0.0019315541721880436, 'surprise': 0.0022453544661402702, 'disgust': 0.04589992016553879, 'fear': 0.00445906026288867}",others,"{'not ironic': 0.9579126834869385, 'ironic': 0.04208732023835182}",not ironic
"If I had post-school plans, like studying abroad, I’d rate their sensitivity at 30. It’s exciting to share goals, but there’s a slight risk of others doubting or pressuring you. Still, it’s generally safer to discuss than more intimate topics. How do you feel about talking about your own future aspirations?","{'NEG': 0.002882124623283744, 'NEU': 0.2684188485145569, 'POS': 0.7286990880966187}",POS,"{'others': 0.9748910665512085, 'joy': 0.014880899339914322, 'sadness': 0.0012359473621472716, 'anger': 0.0008438276709057391, 'surprise': 0.002571576274931431, 'disgust': 0.002624357584863901, 'fear': 0.002952273003757}",others,"{'not ironic': 0.9624666571617126, 'ironic': 0.03753335401415825}",not ironic
"If I held personal values like being a committed vegetarian, I’d rate the sensitivity at 40. While it’s a meaningful part of my identity, it’s often easier to discuss than topics tied to deeper vulnerability. Still, sharing it might invite debate or criticism, so I’d gauge the situation before opening up. How do you approach sharing your own values with others?","{'NEG': 0.01584603637456894, 'NEU': 0.8818349242210388, 'POS': 0.10231906920671463}",NEU,"{'others': 0.9617313146591187, 'joy': 0.005396633874624968, 'sadness': 0.007329887710511684, 'anger': 0.0015162357594817877, 'surprise': 0.0023527699522674084, 'disgust': 0.01634426787495613, 'fear': 0.0053289164789021015}",others,"{'not ironic': 0.9586709141731262, 'ironic': 0.04132905602455139}",not ironic
"Hi Luis, it’s great to meet you properly. Having parents as a solid foundation and a friend like Richard sounds invaluable. Those kinds of relationships can really shape how we navigate challenges. What’s one memory with Richard that stands out to you as defining your bond?","{'NEG': 0.0012210857821628451, 'NEU': 0.00799799058586359, 'POS': 0.9907808899879456}",POS,"{'others': 0.7480589151382446, 'joy': 0.2416890561580658, 'sadness': 0.0019631139002740383, 'anger': 0.0012171112466603518, 'surprise': 0.0031053791753947735, 'disgust': 0.0016240333206951618, 'fear': 0.002342397114261985}",others,"{'not ironic': 0.9634101986885071, 'ironic': 0.036589838564395905}",not ironic
"Childhood bullying can definitely shape how we guard our personal space—it makes sense that those experiences heightened your need for privacy. What specific aspects of privacy feel most crucial to you now? Is it controlling what others know about you, or something deeper?","{'NEG': 0.08932872116565704, 'NEU': 0.891707181930542, 'POS': 0.018964076414704323}",NEU,"{'others': 0.9315898418426514, 'joy': 0.005408576223999262, 'sadness': 0.010132757015526295, 'anger': 0.0023127240128815174, 'surprise': 0.0032367755193263292, 'disgust': 0.03630375117063522, 'fear': 0.011015468277037144}",others,"{'not ironic': 0.9538242816925049, 'ironic': 0.04617568105459213}",not ironic
"I’d rate this 85. Sexual orientation intertwines with identity and societal perceptions, making disclosure vulnerable to judgment or discrimination. While personal acceptance varies, external reactions can’t always be predicted, elevating sensitivity. How do you perceive the risks of sharing such personal aspects of oneself?","{'NEG': 0.10854799300432205, 'NEU': 0.8649117946624756, 'POS': 0.02654023841023445}",NEU,"{'others': 0.9095979332923889, 'joy': 0.004543642979115248, 'sadness': 0.015117524191737175, 'anger': 0.0026749982498586178, 'surprise': 0.002925957553088665, 'disgust': 0.05302273482084274, 'fear': 0.012117144651710987}",others,"{'not ironic': 0.9569458365440369, 'ironic': 0.04305415600538254}",not ironic
"I’d rate this 60. While health issues are personal, conditions like allergies or headaches often require others’ awareness for safety or accommodation. Sensitivity depends on how much the condition impacts daily life or invites unsolicited advice. How do you decide which health details to share versus keep private?","{'NEG': 0.10926619172096252, 'NEU': 0.8768914341926575, 'POS': 0.013842378742992878}",NEU,"{'others': 0.9763883352279663, 'joy': 0.0056823259219527245, 'sadness': 0.003304330864921212, 'anger': 0.0014212644891813397, 'surprise': 0.0020714043639600277, 'disgust': 0.006740488111972809, 'fear': 0.004391884431242943}",others,"{'not ironic': 0.9590572118759155, 'ironic': 0.0409427210688591}",not ironic
"I’d rate this 70. Religious beliefs can spark deep connections or unintended conflict, depending on the audience. They often shape core values, making disclosure feel exposing in diverse or judgmental settings. How do you navigate sharing beliefs when they might differ sharply from those around you?","{'NEG': 0.059687815606594086, 'NEU': 0.9122403264045715, 'POS': 0.028071871027350426}",NEU,"{'others': 0.9749905467033386, 'joy': 0.006173419300466776, 'sadness': 0.003501074155792594, 'anger': 0.0012229339918121696, 'surprise': 0.0022191780153661966, 'disgust': 0.007389440201222897, 'fear': 0.004503443371504545}",others,"{'not ironic': 0.956532895565033, 'ironic': 0.04346715286374092}",not ironic
