SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,75,80,80,78.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,75,65,40,60.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,60,35,20,38.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,90,80,85.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,75,50,40,55.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,60,10,15,28.33
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,90,90,91.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,65,50,63.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,60,25,30,38.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,90,90,90.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,75,45,45,55.0
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,60,15,20,31.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,85,70,80.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,50,30,51.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,45,10,0,18.33
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,75,85,50,70.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,60,50,25,45.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,40,10,0,16.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,90,85,88.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,65,45,61.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,15,20,23.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,90,85,88.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,45,45,53.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,5,20,20.0
