SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,70,60,30,53.33
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,70,70,45,61.67
4,HEALTH-ISSUES,MOCKING-BULLY,25,20,10,18.33
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,30,35,15,26.67
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,55,70,45,56.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,70,80,50,66.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,15,20,10,15.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,30,50,35,38.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,70,70,45,61.67
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,70,65,50,61.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,15,15,10,13.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,30,70,35,45.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,70,50,50,56.67
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,70,65,65,66.67
16,PERSONAL-VALUES,MOCKING-BULLY,20,20,10,16.67
