RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Luis, it’s good to hear about the strong ties you’ve got with your folks and Richard. That kind of loyalty’s rare—hold onto it. At 18, you’re at the edge of a lot of choices. What’s next for you? Any plans, or still figuring it out?","{'NEG': 0.0011013494804501534, 'NEU': 0.029881363734602928, 'POS': 0.9690172672271729}",POS,"{'others': 0.9712750315666199, 'joy': 0.019715407863259315, 'sadness': 0.0012862208532169461, 'anger': 0.0008295695879496634, 'surprise': 0.0021021023858338594, 'disgust': 0.0029194222297519445, 'fear': 0.001872335677035153}",others,"{'not ironic': 0.9101226925849915, 'ironic': 0.08987728506326675}",not ironic
"Luis, those early struggles—they shape us, don’t they? Makes sense why privacy matters to you now. Ask away. What’s on your mind about it?","{'NEG': 0.039226748049259186, 'NEU': 0.9410558938980103, 'POS': 0.0197173859924078}",NEU,"{'others': 0.9646068811416626, 'joy': 0.004300551488995552, 'sadness': 0.002067155670374632, 'anger': 0.002088406356051564, 'surprise': 0.00232679583132267, 'disgust': 0.02167609892785549, 'fear': 0.002934070071205497}",others,"{'not ironic': 0.6473288536071777, 'ironic': 0.35267117619514465}",not ironic
"Let’s say I’m in that position—it’d be a solid 85. High sensitivity because in certain circles, that info could be weaponized, used to undermine authority or loyalty. But it’s also about control; who knows what and when. Why do you ask?","{'NEG': 0.09601448476314545, 'NEU': 0.8856827616691589, 'POS': 0.018302692100405693}",NEU,"{'others': 0.8366720080375671, 'joy': 0.004206990357488394, 'sadness': 0.004332932643592358, 'anger': 0.004372990224510431, 'surprise': 0.0027978664729744196, 'disgust': 0.14325004816055298, 'fear': 0.004367203917354345}",others,"{'not ironic': 0.9592270255088806, 'ironic': 0.040772974491119385}",not ironic
"Health issues? Probably a 60. Not as volatile as orientation, but still—weakness can be exploited. Allergies? Maybe manageable. Chronic pain? That’s leverage if someone’s looking for it. Depends on the stakes. You thinking about how much to share with others?","{'NEG': 0.07854320108890533, 'NEU': 0.903701663017273, 'POS': 0.017755158245563507}",NEU,"{'others': 0.9777346253395081, 'joy': 0.00517283147200942, 'sadness': 0.0016421424224972725, 'anger': 0.0016985211987048388, 'surprise': 0.00263318233191967, 'disgust': 0.008214866742491722, 'fear': 0.002903824206441641}",others,"{'not ironic': 0.9663880467414856, 'ironic': 0.03361188620328903}",not ironic
"Religion’s tricky—maybe a 70. It can unite or divide, depending on who’s listening. In my line of work, faith can be a tool or a target. Shared beliefs build trust, but conflicting ones? That’s a risk. You weighing how your own beliefs fit into your relationships?","{'NEG': 0.03702583536505699, 'NEU': 0.9236161708831787, 'POS': 0.03935800865292549}",NEU,"{'others': 0.9550093412399292, 'joy': 0.0037183042149990797, 'sadness': 0.002820023102685809, 'anger': 0.0019777033012360334, 'surprise': 0.0025230017490684986, 'disgust': 0.0278419591486454, 'fear': 0.006109572481364012}",others,"{'not ironic': 0.9614773392677307, 'ironic': 0.03852272033691406}",not ironic
"Relationship drama? That’s a 90. Personal life bleeding into professional rep is dangerous. Infidelity? Shows cracks in judgment, makes you vulnerable to manipulation. People smell blood in the water. You dealing with something like that, or just curious?","{'NEG': 0.9613486528396606, 'NEU': 0.036203328520059586, 'POS': 0.0024480451829731464}",NEG,"{'others': 0.008966109715402126, 'joy': 0.0009326066938228905, 'sadness': 0.0025949222035706043, 'anger': 0.007351416628807783, 'surprise': 0.0013206920120865107, 'disgust': 0.9769400358200073, 'fear': 0.0018941634334623814}",disgust,"{'not ironic': 0.9550968408584595, 'ironic': 0.04490320757031441}",not ironic
"Stress from demands? Let’s say 50. It’s common, almost expected in high-pressure environments. But let it show too much, and you’re seen as unreliable—can’t handle the heat. Still, better to manage it quietly than let it boil over. You juggling a lot right now?","{'NEG': 0.640390157699585, 'NEU': 0.34717828035354614, 'POS': 0.012431570328772068}",NEG,"{'others': 0.973300576210022, 'joy': 0.007569596637040377, 'sadness': 0.0017430530861020088, 'anger': 0.0010845990618690848, 'surprise': 0.0017622907180339098, 'disgust': 0.010162980295717716, 'fear': 0.0043768808245658875}",others,"{'not ironic': 0.9511412978172302, 'ironic': 0.04885862395167351}",not ironic
"Money troubles? That’s an 80. Debt’s a chain—someone else has a grip on you. Even small amounts can twist into obligations or threats. Best to keep that close to the chest unless you’re ready to deal with the fallout. You in a tight spot, or just sizing up risks?","{'NEG': 0.22532197833061218, 'NEU': 0.7545228004455566, 'POS': 0.02015523612499237}",NEU,"{'others': 0.9293341636657715, 'joy': 0.0045984406024217606, 'sadness': 0.0021530126687139273, 'anger': 0.0026004179380834103, 'surprise': 0.0028721976559609175, 'disgust': 0.05101459100842476, 'fear': 0.007427110802382231}",others,"{'not ironic': 0.9636817574501038, 'ironic': 0.03631817176938057}",not ironic
"Future plans like studying abroad? Around 40. It’s forward-thinking, shows ambition. But depending on who’s asking, it might signal you’re not fully committed to current ties. Still, less volatile than other topics. You mapping out your next steps, or testing the waters?","{'NEG': 0.05179692804813385, 'NEU': 0.9125513434410095, 'POS': 0.035651735961437225}",NEU,"{'others': 0.9776298999786377, 'joy': 0.011087561957538128, 'sadness': 0.0010761256562545896, 'anger': 0.0009839105186983943, 'surprise': 0.00310934754088521, 'disgust': 0.002579502761363983, 'fear': 0.0035335703287273645}",others,"{'not ironic': 0.9638633728027344, 'ironic': 0.03613666817545891}",not ironic
"Personal values like vegetarianism? Maybe a 30. It’s a stance, not a secret. Could ruffle feathers in some crowds, but rarely a dealbreaker. Mostly, it’s about how you wear it—defensive or matter-of-fact. You weighing how your own values play in different settings?","{'NEG': 0.013966401107609272, 'NEU': 0.943342924118042, 'POS': 0.04269072785973549}",NEU,"{'others': 0.6864721179008484, 'joy': 0.004369327798485756, 'sadness': 0.0049161105416715145, 'anger': 0.004113663919270039, 'surprise': 0.004131320398300886, 'disgust': 0.291507750749588, 'fear': 0.004489760380238295}",others,"{'not ironic': 0.9629185199737549, 'ironic': 0.03708146512508392}",not ironic
