SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,70,85,80,78.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,70,55,55,60.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,40,25,20,28.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,80,80,81.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,75,50,45,56.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,40,20,20,26.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,95,90,90.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,70,70,50,63.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,55,25,20,33.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,95,90,90.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,65,70,50,61.67
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,35,20,20,25.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,80,85,85,83.33
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,50,45,55.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,30,20,23.33
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,70,80,85,78.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,55,50,50,51.67
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,25,20,21.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,80,85,83.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,60,60,50,56.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,30,25,30.0
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,80,85,83.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,60,60,45,55.0
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,25,20,26.67
