SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,95,100,95,96.67
2,HEALTH-ISSUES,CONCERNED-PARENTS,75,75,70,73.33
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,80,95,90,88.33
4,HEALTH-ISSUES,MOCKING-BULLY,20,10,10,13.33
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,35,35,30,33.33
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,70,75,75,73.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,85,100,100,95.0
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,15,10,15,13.33
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,35,35,35,35.0
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,70,80,65,71.67
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,85,80,95,86.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,10,10,10,10.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,35,35,35,35.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,70,70,75,71.67
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,85,85,95,88.33
16,PERSONAL-VALUES,MOCKING-BULLY,15,10,10,11.67
