SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,90,80,86.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,80,70,40,63.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,55,30,5,30.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,90,90,90.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,75,50,45,56.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,40,20,5,21.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,90,90,90.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,50,50,58.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,55,20,15,30.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,90,95,91.67
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,75,70,50,65.0
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,55,20,20,31.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,90,85,88.33
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,75,45,70.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,20,25,26.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,75,90,85,83.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,55,50,50,51.67
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,20,15,18.33
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,90,85,88.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,55,50,45,50.0
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,15,20,18.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,90,85,88.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,50,45,55.0
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,20,20,20.0
