SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,95,90,95.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,60,75,50,61.67
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,75,90,70,78.33
4,HEALTH-ISSUES,MOCKING-BULLY,30,5,15,16.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,30,30,30,30.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,70,75,60,68.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,95,90,91.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,5,5,10,6.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,30,25,35,30.0
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,70,65,75,70.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,85,80,85,83.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,5,5,15,8.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,30,30,35,31.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,60,65,55,60.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,80,90,90,86.67
16,PERSONAL-VALUES,MOCKING-BULLY,5,5,15,8.33
