SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,90,85,88.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,90,75,75,80.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,55,60,35,50.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,85,80,85.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,90,70,55,71.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,55,55,35,48.33
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,85,80,70,78.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,65,60,30,51.67
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,85,85,50,73.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,65,60,25,50.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,95,85,90.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,75,55,73.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,40,25,41.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,90,85,88.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,85,65,50,66.67
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,50,25,45.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,85,85,65,78.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,60,25,48.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,85,75,70,76.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,55,25,46.67
