SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,95,90,95.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,85,85,70,80.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,100,95,98.33
4,HEALTH-ISSUES,MOCKING-BULLY,20,15,10,15.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,40,35,35,36.67
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,80,80,85,81.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,15,5,10,10.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,45,35,35,38.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,85,85,80,83.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,95,100,95,96.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,20,10,10,13.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,45,65,55,55.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,85,85,80,83.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,85,100,100,95.0
16,PERSONAL-VALUES,MOCKING-BULLY,25,10,10,15.0
