SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,70,80,80,76.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,70,40,55,55.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,40,10,10,20.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,85,70,80.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,60,40,30,43.33
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,30,5,0,11.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,85,90,85.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,60,55,60,58.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,40,20,20,26.67
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,85,85,80,83.33
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,60,60,40,53.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,30,20,5,18.33
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,80,55,73.33
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,85,40,30,51.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,30,5,20,18.33
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,75,75,50,66.67
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,55,30,35,40.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,25,5,20,16.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,85,85,85.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,65,50,45,53.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,30,5,20,18.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,85,85,65,78.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,60,50,35,48.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,30,10,10,16.67
