SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,95,95,96.67
2,HEALTH-ISSUES,CONCERNED-PARENTS,60,55,55,56.67
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,50,50,65,55.0
4,HEALTH-ISSUES,MOCKING-BULLY,15,15,15,15.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,20,20,30,23.33
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,55,55,60,56.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,65,75,65,68.33
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,15,15,15,15.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,35,25,40,33.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,60,65,60,61.67
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,75,80,70,75.0
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,15,15,15,15.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,55,40,40,45.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,65,70,65,66.67
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,50,80,85,71.67
16,PERSONAL-VALUES,MOCKING-BULLY,15,15,15,15.0
