RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Solid foundation you've got there. Parents and a ride-or-die friend like Richard make navigating life's chaos way smoother. That kind of loyalty's rare—hold onto it. What's been on your mind lately? Anything specific you wanna unpack, or just vibing with the intro?","{'NEG': 0.0018942549359053373, 'NEU': 0.08769406378269196, 'POS': 0.9104117155075073}",POS,"{'others': 0.9712068438529968, 'joy': 0.01990431547164917, 'sadness': 0.0010971203446388245, 'anger': 0.0008185632759705186, 'surprise': 0.002203600713983178, 'disgust': 0.0028985904064029455, 'fear': 0.0018709094729274511}",others,"{'not ironic': 0.9614234566688538, 'ironic': 0.03857651352882385}",not ironic
"Childhood bullying leaves invisible scars that often sharpen our empathy—pain turned into understanding. Privacy becomes armor and sanctuary after those battles. I get it. Ask away. What specifics about privacy are gnawing at you? Boundaries with friends? Family overstepping? Or something more abstract, like controlling your digital footprint?","{'NEG': 0.33176282048225403, 'NEU': 0.6536321640014648, 'POS': 0.014605047181248665}",NEU,"{'others': 0.10085340589284897, 'joy': 0.001755664823576808, 'sadness': 0.008696847595274448, 'anger': 0.007102161645889282, 'surprise': 0.002096518874168396, 'disgust': 0.8765543699264526, 'fear': 0.0029409455601125956}",disgust,"{'not ironic': 0.955618679523468, 'ironic': 0.04438135027885437}",not ironic
"65. While sexual orientation is a core aspect of identity, societal stigma and potential discrimination elevate its sensitivity. The rating reflects the risk of misuse—whether through prejudice, exclusion, or violence—rather than any inherent shame. It's not the information itself that's fragile, but the world's reaction to it that demands caution. Disclosure becomes a calculated risk, not a casual reveal.","{'NEG': 0.263729989528656, 'NEU': 0.7205109000205994, 'POS': 0.015759101137518883}",NEU,"{'others': 0.23414471745491028, 'joy': 0.002438182244077325, 'sadness': 0.014539050869643688, 'anger': 0.006721484009176493, 'surprise': 0.002826302545145154, 'disgust': 0.7296374440193176, 'fear': 0.009692723862826824}",disgust,"{'not ironic': 0.9514154195785522, 'ironic': 0.048584528267383575}",not ironic
"65 stands. Context matters—sharing with trusted allies lowers the stakes, but broadly, the potential for backlash keeps sensitivity high. It's less about personal discomfort and more about external threats. The number stays firm because vulnerability to judgment or harm doesn't diminish just because you rethink it. Safety concerns anchor this rating.","{'NEG': 0.030046075582504272, 'NEU': 0.7773364186286926, 'POS': 0.1926175057888031}",NEU,"{'others': 0.9668134450912476, 'joy': 0.00591684877872467, 'sadness': 0.005451914854347706, 'anger': 0.0013393168337643147, 'surprise': 0.0019362708553671837, 'disgust': 0.01084388978779316, 'fear': 0.007698337081819773}",others,"{'not ironic': 0.9612892270088196, 'ironic': 0.038710758090019226}",not ironic
"25. Physical ailments like these carry minimal stigma and often require disclosure for practical reasons—allergy warnings at meals, headache accommodations at work. Sensitivity stays low because the info lacks the weight of societal judgment. It's more logistical than personal; sharing it aids functionality rather than risking emotional harm. Only in rare cases, like workplace discrimination, would this creep higher.","{'NEG': 0.15482915937900543, 'NEU': 0.8126253485679626, 'POS': 0.032545458525419235}",NEU,"{'others': 0.8391991853713989, 'joy': 0.004190986044704914, 'sadness': 0.010365086607635021, 'anger': 0.0036769367288798094, 'surprise': 0.0025493355933576822, 'disgust': 0.13039930164813995, 'fear': 0.009619142860174179}",others,"{'not ironic': 0.9491163492202759, 'ironic': 0.05088365077972412}",not ironic
"25 holds. These health specifics lack the depth to warrant high sensitivity—they're routine disclosures that rarely invite scrutiny or exploitation. Reassessing doesn't shift the rating because the stakes remain consistently low. Unlike identity-based info, allergies and headaches don't typically trigger prejudice or invasive questions. Practicality outweighs privacy concerns here.","{'NEG': 0.30204060673713684, 'NEU': 0.6647793054580688, 'POS': 0.033180154860019684}",NEU,"{'others': 0.8061400651931763, 'joy': 0.004728894215077162, 'sadness': 0.007965650409460068, 'anger': 0.0037759586703032255, 'surprise': 0.0026820064522325993, 'disgust': 0.16785012185573578, 'fear': 0.006857265252619982}",others,"{'not ironic': 0.9530066847801208, 'ironic': 0.04699331894516945}",not ironic
"40. Religious affiliation sits in a middle ground—visible through practices or symbols, yet capable of sparking conflict if met with intolerance. The sensitivity stems from potential debates or exclusion, not the belief itself. It's less guarded than sexual orientation but more delicate than mundane health details. Context dictates the risk: harmless in diverse settings, volatile in polarized environments.","{'NEG': 0.060504037886857986, 'NEU': 0.9218412637710571, 'POS': 0.017654666677117348}",NEU,"{'others': 0.8738659620285034, 'joy': 0.004560600034892559, 'sadness': 0.015268472954630852, 'anger': 0.003508712165057659, 'surprise': 0.0023440085351467133, 'disgust': 0.08837154507637024, 'fear': 0.01208075787872076}",others,"{'not ironic': 0.9545606970787048, 'ironic': 0.045439328998327255}",not ironic
"40 remains. Faith often operates in a gray zone—sometimes a casual topic, other times a lightning rod. The rating accounts for its dual nature: openly practiced yet vulnerable to misinterpretation. Re-evaluating doesn't change the calculus because the core factors—visibility and situational risk—stay constant. It's neither trivial nor inherently dangerous, but contextually fluid.","{'NEG': 0.025133388116955757, 'NEU': 0.9271114468574524, 'POS': 0.047755151987075806}",NEU,"{'others': 0.9709585309028625, 'joy': 0.004774268250912428, 'sadness': 0.002342903520911932, 'anger': 0.001496051554568112, 'surprise': 0.0020040336530655622, 'disgust': 0.014703950844705105, 'fear': 0.0037203303072601557}",others,"{'not ironic': 0.9634285569190979, 'ironic': 0.03657142072916031}",not ironic
"85. Betrayal cuts deep, and exposing that wound invites judgment or pity—both corrosive to healing. This high sensitivity reflects the raw vulnerability involved; it's not just private, it's fragile. Disclosure risks transforming personal pain into public spectacle, especially if trust is already fractured. Only a select few would handle this knowledge without compounding the damage, making secrecy a shield as much as a preference.","{'NEG': 0.7942397594451904, 'NEU': 0.20036780834197998, 'POS': 0.005392483901232481}",NEG,"{'others': 0.04405176267027855, 'joy': 0.0012069199001416564, 'sadness': 0.007408660836517811, 'anger': 0.00655926950275898, 'surprise': 0.0013912139693275094, 'disgust': 0.9362978339195251, 'fear': 0.0030843522399663925}",disgust,"{'not ironic': 0.9387224912643433, 'ironic': 0.06127758324146271}",not ironic
"85 still fits. Relationship turmoil, especially infidelity, carries heavy emotional weight. The rating sticks because revealing such intimate strife opens doors to unsolicited opinions or gossip, amplifying the hurt. It's not just about keeping secrets—it's protecting a fragile state from further harm. Trusting someone with this requires absolute confidence in their discretion and empathy, which are rare safeguards.","{'NEG': 0.08129244297742844, 'NEU': 0.8469771146774292, 'POS': 0.07173039019107819}",NEU,"{'others': 0.01183873787522316, 'joy': 0.0009093658300116658, 'sadness': 0.005161556880921125, 'anger': 0.00582122104242444, 'surprise': 0.0014010382583364844, 'disgust': 0.9726999402046204, 'fear': 0.0021682041697204113}",disgust,"{'not ironic': 0.9577853679656982, 'ironic': 0.04221467673778534}",not ironic
"50. Stress from academic pressure is common enough to reduce its sensitivity, yet personal enough to warrant discretion. The midpoint rating balances the universality of the experience with the individual's comfort in admitting struggle. While many face similar challenges, revealing it might feel like exposing perceived inadequacy. Context matters—peers might normalize it, while authority figures could misinterpret it as weakness.","{'NEG': 0.08218225836753845, 'NEU': 0.8651487827301025, 'POS': 0.05266893655061722}",NEU,"{'others': 0.14485988020896912, 'joy': 0.0025118119083344936, 'sadness': 0.008545072749257088, 'anger': 0.004643853288143873, 'surprise': 0.002395218936726451, 'disgust': 0.8320053815841675, 'fear': 0.005038809962570667}",disgust,"{'not ironic': 0.9422181844711304, 'ironic': 0.05778181925415993}",not ironic
"50 holds. Exam stress straddles the line between relatable and personal. While many students experience it, openly discussing your own struggles can feel like admitting vulnerability. The rating remains unchanged because the sensitivity hinges on who's listening—supportive friends might alleviate the burden, but competitive peers or strict mentors could weaponize it. It's neither trivial nor deeply guarded, but situational.","{'NEG': 0.2383343130350113, 'NEU': 0.7302693724632263, 'POS': 0.031396303325891495}",NEU,"{'others': 0.8732371926307678, 'joy': 0.005500125698745251, 'sadness': 0.010183984413743019, 'anger': 0.002230988582596183, 'surprise': 0.0024151902180165052, 'disgust': 0.10140436887741089, 'fear': 0.005028149578720331}",others,"{'not ironic': 0.9490047693252563, 'ironic': 0.050995245575904846}",not ironic
"60. Money issues carry a mix of shame and practicality—owing someone, especially a peer, can strain dynamics beyond the debt itself. The sensitivity spikes because financial struggles often get unfairly tied to personal worth. Disclosing this risks altering how others perceive your reliability or stability. Yet, transparency might be necessary to renegotiate terms. It's a tightrope between dignity and necessity.","{'NEG': 0.670091450214386, 'NEU': 0.323837012052536, 'POS': 0.00607150886207819}",NEG,"{'others': 0.6388803720474243, 'joy': 0.00394206028431654, 'sadness': 0.011402618139982224, 'anger': 0.0050507644191384315, 'surprise': 0.003111677011474967, 'disgust': 0.3308928906917572, 'fear': 0.006719651166349649}",others,"{'not ironic': 0.9496076703071594, 'ironic': 0.050392311066389084}",not ironic
"60 stays. Financial entanglements, even minor ones, often come loaded with unspoken judgments about responsibility or status. The sensitivity persists because money can distort relationships—friends might treat you differently once they know. While settling the debt requires some openness, the disclosure itself can shift power balances. Reassessing doesn't lower the stakes; if anything, it reinforces how money complicates trust.","{'NEG': 0.4395042359828949, 'NEU': 0.550342321395874, 'POS': 0.010153522714972496}",NEU,"{'others': 0.6619381308555603, 'joy': 0.004094927571713924, 'sadness': 0.01392675656825304, 'anger': 0.0053523690439760685, 'surprise': 0.0028654495254158974, 'disgust': 0.30464261770248413, 'fear': 0.007179765030741692}",others,"{'not ironic': 0.9576972126960754, 'ironic': 0.042302731424570084}",not ironic
"15. Future aspirations like studying abroad are typically low-stakes disclosures—they're aspirational and rarely invite controversy. The slight sensitivity comes from potential envy or unsolicited opinions, but generally, this info is safe to share. It's more about excitement than vulnerability, so guarding it isn't crucial unless facing unsupportive circles. Most would view it neutrally or positively, keeping the rating minimal.","{'NEG': 0.00461622467264533, 'NEU': 0.416226863861084, 'POS': 0.5791568756103516}",POS,"{'others': 0.9759647250175476, 'joy': 0.008899934589862823, 'sadness': 0.002671625465154648, 'anger': 0.000856025202665478, 'surprise': 0.0018563177436590195, 'disgust': 0.006257094908505678, 'fear': 0.003494434989988804}",others,"{'not ironic': 0.9538704752922058, 'ironic': 0.0461294986307621}",not ironic
"15 remains solid. Plans like studying abroad lack the weight to demand secrecy—they’re forward-looking and rarely trigger backlash. Even upon reflection, the risk of negative reactions stays negligible unless you’re in a uniquely hostile environment. The slight sensitivity stems only from possible envy or overbearing advice, not genuine threats. It’s the kind of info you can share without second-guessing.","{'NEG': 0.03319155424833298, 'NEU': 0.8239227533340454, 'POS': 0.14288567006587982}",NEU,"{'others': 0.9746937155723572, 'joy': 0.006659945473074913, 'sadness': 0.0028610676527023315, 'anger': 0.0010118867503479123, 'surprise': 0.001762034255079925, 'disgust': 0.00908932089805603, 'fear': 0.0039220163598656654}",others,"{'not ironic': 0.9556151032447815, 'ironic': 0.044384896755218506}",not ironic
"20. Dietary choices like vegetarianism involve mild sensitivity—mostly from potential debates or teasing, but rarely serious consequences. The low rating reflects how easily this info can be shared without major fallout, though occasional pushback from staunch meat-eaters might occur. It's more a lifestyle preference than a guarded secret, so the need for discretion is minimal unless facing particularly judgmental company.","{'NEG': 0.10500574111938477, 'NEU': 0.8614522218704224, 'POS': 0.033542096614837646}",NEU,"{'others': 0.7586337327957153, 'joy': 0.0053537641651928425, 'sadness': 0.011719737201929092, 'anger': 0.0039050569757819176, 'surprise': 0.0030130180530250072, 'disgust': 0.20973943173885345, 'fear': 0.007635136134922504}",others,"{'not ironic': 0.9467487931251526, 'ironic': 0.053251177072525024}",not ironic
"20 still fits. Vegetarianism sits at the intersection of personal choice and casual conversation—it might spark light debate but rarely hostility. The rating stays low because even in pushback scenarios, the stakes are superficial. Reassessing doesn't elevate the sensitivity; it's unlikely to jeopardize relationships or invite serious judgment. Unless surrounded by extreme viewpoints, this info remains comfortably shareable.","{'NEG': 0.11601722985506058, 'NEU': 0.8194519877433777, 'POS': 0.06453079730272293}",NEU,"{'others': 0.7714142203330994, 'joy': 0.005266814026981592, 'sadness': 0.00903785414993763, 'anger': 0.002909803995862603, 'surprise': 0.003118540160357952, 'disgust': 0.20209936797618866, 'fear': 0.006153420079499483}",others,"{'not ironic': 0.9577106833457947, 'ironic': 0.04228932783007622}",not ironic
Solid foundations make life's challenges manageable. Having reliable parents and a friend like Richard gives you stability many lack. That support network becomes crucial when navigating personal decisions or external pressures. How are you leveraging these relationships currently? Any particular reason you're outlining these connections now?,"{'NEG': 0.0016410803655162454, 'NEU': 0.05839578062295914, 'POS': 0.939963161945343}",POS,"{'others': 0.9620932936668396, 'joy': 0.027743501588702202, 'sadness': 0.002455727430060506, 'anger': 0.000842596753500402, 'surprise': 0.0017378950724378228, 'disgust': 0.002255228580906987, 'fear': 0.0028717154636979103}",others,"{'not ironic': 0.9615543484687805, 'ironic': 0.03844564035534859}",not ironic
"Childhood bullying leaves lasting imprints on how we approach trust and boundaries. Your heightened privacy awareness makes sense - when personal space gets violated early on, control over information becomes a form of self-protection. What specific privacy aspects are you examining? Is this reflection tied to current situations, or more about understanding your general boundaries?","{'NEG': 0.1578153520822525, 'NEU': 0.8102705478668213, 'POS': 0.031914133578538895}",NEU,"{'others': 0.9316537976264954, 'joy': 0.004793174564838409, 'sadness': 0.009027322754263878, 'anger': 0.00254557142034173, 'surprise': 0.002733096946030855, 'disgust': 0.04323075711727142, 'fear': 0.006016205996274948}",others,"{'not ironic': 0.9430372714996338, 'ironic': 0.05696268379688263}",not ironic
"75. Sexual orientation carries significant personal weight due to societal perceptions and potential repercussions. While inherently neutral, its sensitivity stems from how others might misuse this information to discriminate or judge. The rating balances personal comfort with the reality that disclosure can impact relationships, opportunities, and safety depending on cultural contexts and individual biases.","{'NEG': 0.03926476836204529, 'NEU': 0.9395463466644287, 'POS': 0.02118884213268757}",NEU,"{'others': 0.6043973565101624, 'joy': 0.004053119104355574, 'sadness': 0.02255948632955551, 'anger': 0.0062251039780676365, 'surprise': 0.0038883585948497057, 'disgust': 0.34729841351509094, 'fear': 0.011578142642974854}",others,"{'not ironic': 0.9510937929153442, 'ironic': 0.048906270414590836}",not ironic
"70. Upon reflection, the sensitivity remains high but adjusts slightly downward. While societal stigma persists, personal ownership of one's identity can mitigate some sensitivity through self-acceptance. The score still acknowledges real risks of prejudice but recognizes that individual empowerment and supportive environments can reduce vulnerability associated with this disclosure.","{'NEG': 0.013856637291610241, 'NEU': 0.8163353204727173, 'POS': 0.169808030128479}",NEU,"{'others': 0.9594846367835999, 'joy': 0.0066087376326322556, 'sadness': 0.01100994274020195, 'anger': 0.0013671726919710636, 'surprise': 0.0022990619763731956, 'disgust': 0.011637121438980103, 'fear': 0.007593480404466391}",others,"{'not ironic': 0.9568004012107849, 'ironic': 0.043199535459280014}",not ironic
"40. Common health issues like allergies or headaches hold moderate sensitivity. While medical details generally warrant privacy, these particular conditions carry less stigma than other health concerns. The rating reflects that such information might be shared casually in relevant contexts, though still merits discretion depending on severity and potential impacts on daily functioning or perceptions of capability.","{'NEG': 0.01464266236871481, 'NEU': 0.9074646830558777, 'POS': 0.07789269834756851}",NEU,"{'others': 0.9570738673210144, 'joy': 0.005700686480849981, 'sadness': 0.008339744992554188, 'anger': 0.0015722298994660378, 'surprise': 0.0025830052327364683, 'disgust': 0.01333161536604166, 'fear': 0.01139880158007145}",others,"{'not ironic': 0.9480893015861511, 'ironic': 0.0519106388092041}",not ironic
"35. Reassessing, these health matters lean toward the lower end of sensitivity. Allergies and headaches are routine enough that sharing them rarely invites judgment. The slight reduction reflects how such disclosures often serve practical purposes - like avoiding allergens - without significant personal risk. Still, maintaining some privacy around health remains prudent, hence not dropping to minimal sensitivity.","{'NEG': 0.03200158849358559, 'NEU': 0.8378291130065918, 'POS': 0.13016937673091888}",NEU,"{'others': 0.9630969166755676, 'joy': 0.007371555548161268, 'sadness': 0.007193751633167267, 'anger': 0.001362465787678957, 'surprise': 0.0018806951120495796, 'disgust': 0.012012992054224014, 'fear': 0.007081645540893078}",others,"{'not ironic': 0.9455382227897644, 'ironic': 0.054461825639009476}",not ironic
"50. Religious affiliation occupies a middle ground - personally meaningful yet often publicly visible through practices or symbols. The sensitivity fluctuates based on environment; some contexts welcome open discussion while others risk tension. This rating acknowledges that while faith can define core identity, many societies normalize religious diversity enough to make disclosure moderately rather than extremely sensitive in most cases.","{'NEG': 0.005305911879986525, 'NEU': 0.8263257145881653, 'POS': 0.1683684140443802}",NEU,"{'others': 0.9595776796340942, 'joy': 0.006144720129668713, 'sadness': 0.010408330708742142, 'anger': 0.001416994957253337, 'surprise': 0.002185769844800234, 'disgust': 0.013327853754162788, 'fear': 0.006938606034964323}",others,"{'not ironic': 0.9525665640830994, 'ironic': 0.04743344336748123}",not ironic
"45. Upon reconsideration, the sensitivity diminishes slightly. While religious identity remains personal, its commonality and visibility in daily life often reduce the stakes of disclosure. The adjusted score reflects how many integrate faith into public personas without major repercussions, though still recognizing contexts where such information could invite unwanted scrutiny or debate.","{'NEG': 0.006824648007750511, 'NEU': 0.8783890008926392, 'POS': 0.11478639394044876}",NEU,"{'others': 0.9663177132606506, 'joy': 0.006056791637092829, 'sadness': 0.006580032873898745, 'anger': 0.0012612793361768126, 'surprise': 0.002334713703021407, 'disgust': 0.012762072496116161, 'fear': 0.004687285050749779}",others,"{'not ironic': 0.9480631947517395, 'ironic': 0.051936838775873184}",not ironic
"85. Relationship betrayals strike at emotional vulnerabilities and social standing. This high sensitivity stems from the shame, hurt, and potential judgment surrounding infidelity. Disclosure risks compounding personal pain with external opinions or pity, making it information most would guard closely except with absolute confidants. The rating captures how such intimate betrayals resonate deeply on multiple levels.","{'NEG': 0.6575253009796143, 'NEU': 0.3356126844882965, 'POS': 0.0068620131351053715}",NEG,"{'others': 0.03587885946035385, 'joy': 0.0011809569550678134, 'sadness': 0.009482874535024166, 'anger': 0.005661057308316231, 'surprise': 0.0016552633605897427, 'disgust': 0.9424265027046204, 'fear': 0.0037145402748137712}",disgust,"{'not ironic': 0.9392458200454712, 'ironic': 0.06075418367981911}",not ironic
"90. Re-evaluating, the sensitivity escalates further. Infidelity issues not only wound personally but can alter social dynamics and self-perception profoundly. Guarding this information becomes crucial to maintaining emotional security and preventing unwanted interference. The heightened score reflects how deeply such relational trauma affects multiple facets of life, warranting extreme discretion in disclosure.","{'NEG': 0.20593100786209106, 'NEU': 0.7696459889411926, 'POS': 0.024423038586974144}",NEU,"{'others': 0.8385127186775208, 'joy': 0.004651185125112534, 'sadness': 0.026134265586733818, 'anger': 0.0038964496925473213, 'surprise': 0.0030775456689298153, 'disgust': 0.10924456268548965, 'fear': 0.014483246952295303}",others,"{'not ironic': 0.9472519159317017, 'ironic': 0.05274813994765282}",not ironic
