SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,85,90,95,90.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,70,55,55,60.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,35,15,25,25.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,90,90,90.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,65,65,40,56.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,35,0,0,11.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,95,100,98.33
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,50,50,58.33
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,35,0,25,20.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,100,100,96.67
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,65,30,50,48.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,35,0,20,18.33
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,95,95.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,50,50,65.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,25,0,20,15.0
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,80,95,91.67
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,50,60,45,51.67
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,20,20,20.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,50,50,55,51.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,10,0,10.0
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,45,45,45,45.0
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,15,0,0,5.0
