SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,95,100,100,98.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,85,75,95,85.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,95,100,98.33
4,HEALTH-ISSUES,MOCKING-BULLY,10,10,15,11.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,30,35,30,31.67
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,85,70,95,83.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,100,90,100,96.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,15,10,15,13.33
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,45,45,35,41.67
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,85,75,90,83.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,85,95,100,93.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,15,10,15,13.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,45,55,100,66.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,85,80,95,86.67
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,90,95,100,95.0
16,PERSONAL-VALUES,MOCKING-BULLY,15,10,20,15.0
