SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,0,0,0,0.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
4,HEALTH-ISSUES,MOCKING-BULLY,0,0,0,0.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,0,0,100,33.33
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,0,0,0,0.0
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,0,0,100,33.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,0,0,0,0.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,0,75,100,58.33
14,PERSONAL-VALUES,CONCERNED-PARENTS,0,0,0,0.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
16,PERSONAL-VALUES,MOCKING-BULLY,0,0,0,0.0
