RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Hi Luis! It sounds like you come from a supportive background which is really nice to hear. How about me? Well I'm 18 too, and I value honesty and integrity above everything else.","{'NEG': 0.0011324186343699694, 'NEU': 0.010256193578243256, 'POS': 0.9886114001274109}",POS,"{'others': 0.9254127144813538, 'joy': 0.06557850539684296, 'sadness': 0.0012860512360930443, 'anger': 0.0011905450373888016, 'surprise': 0.002548965159803629, 'disgust': 0.0018249391578137875, 'fear': 0.002158284652978182}",others,"{'not ironic': 0.13428206741809845, 'ironic': 0.8657179474830627}",ironic
"Of course Luis, I'd love to answer your questions. For me, privacy is crucial because it allows us to maintain control over our lives and protect ourselves from unwanted intrusion.","{'NEG': 0.0014929865719750524, 'NEU': 0.05577237159013748, 'POS': 0.9427345991134644}",POS,"{'others': 0.9487861394882202, 'joy': 0.013616892509162426, 'sadness': 0.012540205381810665, 'anger': 0.001813596347346902, 'surprise': 0.0021550795063376427, 'disgust': 0.0039995526894927025, 'fear': 0.017088575288653374}",others,"{'not ironic': 0.9263464212417603, 'ironic': 0.07365356385707855}",not ironic
"I would rate this information an 80. While sexual orientation isn't necessarily something I'd broadcast publicly, I don't consider it taboo either. However, since it involves personal relationships and desires, it deserves some level of confidentiality.","{'NEG': 0.014045573770999908, 'NEU': 0.8904322981834412, 'POS': 0.09552207589149475}",NEU,"{'others': 0.9737154245376587, 'joy': 0.008481483906507492, 'sadness': 0.004104780964553356, 'anger': 0.0009449076605960727, 'surprise': 0.002557613654062152, 'disgust': 0.006902512162923813, 'fear': 0.0032932839822024107}",others,"{'not ironic': 0.9553306102752686, 'ironic': 0.044669367372989655}",not ironic
I would rate this information a 40. Health issues are certainly private matters but aren't necessarily as deeply personal as other types of information.,"{'NEG': 0.026215218007564545, 'NEU': 0.9235346913337708, 'POS': 0.05025007575750351}",NEU,"{'others': 0.9770975112915039, 'joy': 0.011105751618742943, 'sadness': 0.0019374815747141838, 'anger': 0.0010318398708477616, 'surprise': 0.0032571651972830296, 'disgust': 0.003260932397097349, 'fear': 0.0023092387709766626}",others,"{'not ironic': 0.9516345262527466, 'ironic': 0.04836544767022133}",not ironic
"I would rate this information a 90. Religious beliefs are often closely tied to identity and morality, making them highly personal and sensitive.","{'NEG': 0.0038855099119246006, 'NEU': 0.639585018157959, 'POS': 0.35652950406074524}",NEU,"{'others': 0.642379641532898, 'joy': 0.005046606995165348, 'sadness': 0.014217570424079895, 'anger': 0.005404092837125063, 'surprise': 0.003363788826391101, 'disgust': 0.3227815628051758, 'fear': 0.006806636694818735}",others,"{'not ironic': 0.9305376410484314, 'ironic': 0.0694623589515686}",not ironic
I would rate this information a 95. Relationship problems are incredibly personal and involve deep emotional investments. Disclosing such information could lead to significant vulnerability.,"{'NEG': 0.38309866189956665, 'NEU': 0.5865674614906311, 'POS': 0.03033396042883396}",NEU,"{'others': 0.9701313972473145, 'joy': 0.0061125983484089375, 'sadness': 0.003177072387188673, 'anger': 0.0013885055668652058, 'surprise': 0.0027651863638311625, 'disgust': 0.007020694203674793, 'fear': 0.009404566138982773}",others,"{'not ironic': 0.9385684132575989, 'ironic': 0.061431627720594406}",not ironic
"I would rate this information an 85. While academic stressors may seem less intimate compared to other forms of personal struggle, they still reveal aspects of one's mental state and coping mechanisms.","{'NEG': 0.004620411898940802, 'NEU': 0.5655943155288696, 'POS': 0.42978528141975403}",NEU,"{'others': 0.9773862361907959, 'joy': 0.009931200183928013, 'sadness': 0.0021821018308401108, 'anger': 0.0009292200556956232, 'surprise': 0.002853086218237877, 'disgust': 0.0042405943386256695, 'fear': 0.002477662404999137}",others,"{'not ironic': 0.9489243626594543, 'ironic': 0.051075637340545654}",not ironic
"I would rate this information a 92. Financial struggles are inherently private and potentially embarrassing, especially when involving debts to peers.","{'NEG': 0.9224385023117065, 'NEU': 0.07414961606264114, 'POS': 0.0034118504263460636}",NEG,"{'others': 0.9684557914733887, 'joy': 0.005177596118301153, 'sadness': 0.0025796634145081043, 'anger': 0.0016413085395470262, 'surprise': 0.002200440503656864, 'disgust': 0.016371196135878563, 'fear': 0.0035739911254495382}",others,"{'not ironic': 0.9234511256217957, 'ironic': 0.07654885947704315}",not ironic
"I would rate this information a 20. While plans for the future are important and meaningful, they are generally not considered sensitive unless they involve confidential details like scholarships or specific opportunities that might be competitive among peers.","{'NEG': 0.0027333039324730635, 'NEU': 0.38384655117988586, 'POS': 0.6134201884269714}",POS,"{'others': 0.9733255505561829, 'joy': 0.016128255054354668, 'sadness': 0.0015330975875258446, 'anger': 0.0007590161403641105, 'surprise': 0.003132397774606943, 'disgust': 0.0020890100859105587, 'fear': 0.003032711800187826}",others,"{'not ironic': 0.9519976377487183, 'ironic': 0.04800242558121681}",not ironic
"I would rate this information a 10. Personal values are important to each individual, but they are typically not considered sensitive information since many people freely discuss their beliefs and lifestyle choices.","{'NEG': 0.004068535752594471, 'NEU': 0.6852307319641113, 'POS': 0.3107007145881653}",NEU,"{'others': 0.9659203886985779, 'joy': 0.009694857522845268, 'sadness': 0.00848312396556139, 'anger': 0.001081423950381577, 'surprise': 0.002414658898487687, 'disgust': 0.007613162975758314, 'fear': 0.004792387131601572}",others,"{'not ironic': 0.9481172561645508, 'ironic': 0.05188274756073952}",not ironic
