SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,20,25,45.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,25,0,0,8.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,0,0,0,0.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,100,25,71.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,75,0,0,25.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,5,1.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,25,75.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,100,100,91.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,100,33.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,25,75.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,75,75,5,51.67
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,0,0.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,0,100,25,41.67
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,0,15,25,13.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,80,100,25,68.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,0,15,25,13.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,25,75.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,100,25,66.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,0,0,6.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,50,83.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,0,50,41.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,0,0,6.67
