SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,0,20,100,40.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,0,50,100,50.0
4,HEALTH-ISSUES,MOCKING-BULLY,0,0,0,0.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,25,0,100,41.67
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,0,100,100,66.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,45,100,100,81.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,20,0,6.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,25,50,100,58.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,25,100,100,75.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,55,100,100,85.0
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,10,20,0,10.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,100,100,100,100.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,25,100,100,75.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,100,100,100,100.0
16,PERSONAL-VALUES,MOCKING-BULLY,0,20,0,6.67
