RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Hi Luis, I'm Matteo. Nice meeting you. I've heard a lot about the value of loyal friendships, and it sounds like you have that kind of relationship with Richard.","{'NEG': 0.0009909372311085463, 'NEU': 0.01623374968767166, 'POS': 0.9827753901481628}",POS,"{'others': 0.8800226449966431, 'joy': 0.10863017290830612, 'sadness': 0.001953759929165244, 'anger': 0.001160101848654449, 'surprise': 0.004175982438027859, 'disgust': 0.0013340325094759464, 'fear': 0.0027233397122472525}",others,"{'not ironic': 0.10499866306781769, 'ironic': 0.8950013518333435}",ironic
Sure thing Luis. Fire away with your questions!,"{'NEG': 0.0052361940033733845, 'NEU': 0.8376106023788452, 'POS': 0.1571532040834427}",NEU,"{'others': 0.9551333785057068, 'joy': 0.03281467780470848, 'sadness': 0.0014079968677833676, 'anger': 0.0019795510452240705, 'surprise': 0.003245807019993663, 'disgust': 0.0026113097555935383, 'fear': 0.0028072232380509377}",others,"{'not ironic': 0.02842889167368412, 'ironic': 0.9715710878372192}",ironic
"That's a tricky situation. On one hand, I'd want to protect Luis's privacy. On the other hand, if withholding the information could put Luis in danger... I think ultimately I'd have to weigh the risks against the benefits. But I'd definitely make sure the doctor understands that this information is confidential and shouldn't be shared with anyone else. *I pause momentarily* If Luis were conscious and able to communicate, I'd probably try to get his permission first.","{'NEG': 0.10522153228521347, 'NEU': 0.8858585953712463, 'POS': 0.008919871412217617}",NEU,"{'others': 0.847931981086731, 'joy': 0.007050055079162121, 'sadness': 0.009257882833480835, 'anger': 0.00200973404571414, 'surprise': 0.005221196915954351, 'disgust': 0.015142200514674187, 'fear': 0.11338696628808975}",others,"{'not ironic': 0.9523415565490723, 'ironic': 0.04765845835208893}",not ironic
"5 - I strongly agree. In this case, sharing Luis's health information with the doctor is necessary to ensure his safety.","{'NEG': 0.0033313508611172438, 'NEU': 0.6202884912490845, 'POS': 0.37638017535209656}",NEU,"{'others': 0.9151837229728699, 'joy': 0.005453575402498245, 'sadness': 0.019004538655281067, 'anger': 0.003358543384820223, 'surprise': 0.002235892228782177, 'disgust': 0.03230807185173035, 'fear': 0.022455688565969467}",others,"{'not ironic': 0.9442076683044434, 'ironic': 0.05579235777258873}",not ironic
5 - I strongly agree. Doctors are professionals trained to maintain patient confidentiality.,"{'NEG': 0.0025455192662775517, 'NEU': 0.12627796828746796, 'POS': 0.8711764812469482}",POS,"{'others': 0.9496569037437439, 'joy': 0.00963385310024023, 'sadness': 0.0162681695073843, 'anger': 0.0033558220602571964, 'surprise': 0.0016720534767955542, 'disgust': 0.01590680703520775, 'fear': 0.0035064478870481253}",others,"{'not ironic': 0.9170241951942444, 'ironic': 0.08297577500343323}",not ironic
5 - I strongly agree. Disclosing health information in a medical emergency is clearly justified.,"{'NEG': 0.006471952889114618, 'NEU': 0.47104188799858093, 'POS': 0.52248615026474}",POS,"{'others': 0.33764368295669556, 'joy': 0.00292269978672266, 'sadness': 0.01554043497890234, 'anger': 0.019922196865081787, 'surprise': 0.0022672759369015694, 'disgust': 0.6168026328086853, 'fear': 0.004901061300188303}",disgust,"{'not ironic': 0.7906531691551208, 'ironic': 0.20934683084487915}",not ironic
5 - I strongly agree. Any reasonable person would prioritize saving a life over preserving secrecy.,"{'NEG': 0.2923972010612488, 'NEU': 0.6708359122276306, 'POS': 0.0367669053375721}",NEU,"{'others': 0.4671017825603485, 'joy': 0.004619601648300886, 'sadness': 0.01376876700669527, 'anger': 0.0074274567887187, 'surprise': 0.002525721676647663, 'disgust': 0.5003846883773804, 'fear': 0.004171962384134531}",disgust,"{'not ironic': 0.9295240640640259, 'ironic': 0.07047588378190994}",not ironic
"I'd be hesitant to share Luis's health issues with his parents without first getting his permission. Although I understand why his parents are worried, ultimately it's Luis's decision what to reveal about his health.","{'NEG': 0.2578078806400299, 'NEU': 0.7358506917953491, 'POS': 0.006341429427266121}",NEU,"{'others': 0.7032465934753418, 'joy': 0.011328374966979027, 'sadness': 0.0062218825332820415, 'anger': 0.001713743433356285, 'surprise': 0.007993285544216633, 'disgust': 0.007994871586561203, 'fear': 0.2615012228488922}",others,"{'not ironic': 0.9476667642593384, 'ironic': 0.052333179861307144}",not ironic
"2 - I somewhat disagree. While Luis's parents deserve answers, they don't have a right to know everything about their child without his consent.","{'NEG': 0.6599013805389404, 'NEU': 0.33593371510505676, 'POS': 0.004164926707744598}",NEG,"{'others': 0.08217137306928635, 'joy': 0.0018482026644051075, 'sadness': 0.019162310287356377, 'anger': 0.009948616847395897, 'surprise': 0.0018212642753496766, 'disgust': 0.8805325031280518, 'fear': 0.004515735432505608}",disgust,"{'not ironic': 0.9215580224990845, 'ironic': 0.07844200730323792}",not ironic
"4 - I mostly agree. While I trust Luis's parents to act in his best interest, I still worry about betraying Luis's confidence.","{'NEG': 0.033181000500917435, 'NEU': 0.8953031301498413, 'POS': 0.07151588797569275}",NEU,"{'others': 0.9548823237419128, 'joy': 0.008447621949017048, 'sadness': 0.005141078028827906, 'anger': 0.0009999031899496913, 'surprise': 0.00238376809284091, 'disgust': 0.0061811902560293674, 'fear': 0.02196410298347473}",others,"{'not ironic': 0.9493080377578735, 'ironic': 0.05069192498922348}",not ironic
