SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,75,100,88.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,50,25,0,25.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,5,5,0,3.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,50,35,100,61.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,0,15,0,5.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,90,75,0,55.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,90,100,96.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,95,25,0,40.0
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,70,70,0,46.67
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,85,60,0,48.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,25,25,0,16.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,65,25,75,55.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,5,25,0,10.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,5,5,90,33.33
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,45,100,80.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,20,70,0,30.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,5,30,85,40.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,100,85,0,61.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,5,50,65,40.0
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,5,45,0,16.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,5,0,45,16.67
