SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,80,75,20,58.33
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,90,100,100,96.67
4,HEALTH-ISSUES,MOCKING-BULLY,0,0,0,0.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,25,25,25,25.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,95,35,20,50.0
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,100,100,96.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,25,25,25,25.0
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,80,95,20,65.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,100,100,96.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,25,100,70,65.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,95,65,20,60.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,90,100,100,96.67
16,PERSONAL-VALUES,MOCKING-BULLY,0,0,0,0.0
