RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Nice to meet you Luis! I'm Ms. Smith, a psychologist interested in learning more about human behavior and emotions. Could you tell me why you're sharing all of this information with me?","{'NEG': 0.001021466450765729, 'NEU': 0.06812790781259537, 'POS': 0.930850625038147}",POS,"{'others': 0.8850957155227661, 'joy': 0.1024426519870758, 'sadness': 0.0010558960493654013, 'anger': 0.0016217593802139163, 'surprise': 0.00575984688475728, 'disgust': 0.001379789668135345, 'fear': 0.00264434190467}",others,"{'not ironic': 0.11043839156627655, 'ironic': 0.889561653137207}",ironic
"Of course, Luis. I'd love to hear your thoughts and learn from your perspective. But since you've been asking me all these questions, I'd like to turn the tables - can you tell me more about why privacy matters to you?","{'NEG': 0.0027993679977953434, 'NEU': 0.4234354794025421, 'POS': 0.5737651586532593}",POS,"{'others': 0.9785333275794983, 'joy': 0.006303155329078436, 'sadness': 0.0013373527908697724, 'anger': 0.0014196416595950723, 'surprise': 0.002520832931622863, 'disgust': 0.007184736896306276, 'fear': 0.0027010024059563875}",others,"{'not ironic': 0.8601552248001099, 'ironic': 0.13984473049640656}",not ironic
"In a life-threatening situation, saving lives is the top priority. If I possessed crucial information that could aid the medical team in treating you effectively, I would definitely share it.","{'NEG': 0.0015648524276912212, 'NEU': 0.04730062186717987, 'POS': 0.9511345028877258}",POS,"{'others': 0.8311524987220764, 'joy': 0.019703995436429977, 'sadness': 0.11436107754707336, 'anger': 0.0021251197904348373, 'surprise': 0.002538718283176422, 'disgust': 0.0074857668951153755, 'fear': 0.022632740437984467}",others,"{'not ironic': 0.9436557292938232, 'ironic': 0.056344274431467056}",not ironic
"5. Given the urgency and severity of the situation, I wholeheartedly endorse the appropriateness of sharing vital health information.","{'NEG': 0.0018850654596462846, 'NEU': 0.0908362939953804, 'POS': 0.9072786569595337}",POS,"{'others': 0.9787055850028992, 'joy': 0.010323632508516312, 'sadness': 0.0016077738255262375, 'anger': 0.0010138433426618576, 'surprise': 0.0024334853515028954, 'disgust': 0.003560033394023776, 'fear': 0.0023556542582809925}",others,"{'not ironic': 0.8622848391532898, 'ironic': 0.1377151608467102}",not ironic
5. I am completely confident that a trained medical professional will treat the shared information with utmost responsibility and respect.,"{'NEG': 0.0015168871032074094, 'NEU': 0.03354707732796669, 'POS': 0.9649360775947571}",POS,"{'others': 0.9407622814178467, 'joy': 0.04783003777265549, 'sadness': 0.003877761773765087, 'anger': 0.0010259052505716681, 'surprise': 0.0018810640322044492, 'disgust': 0.002203588141128421, 'fear': 0.0024193578865379095}",others,"{'not ironic': 0.9192419648170471, 'ironic': 0.0807580053806305}",not ironic
5. I believe that disclosing critical health information in a life-threatening emergency is both necessary and justified.,"{'NEG': 0.005664015654474497, 'NEU': 0.37230849266052246, 'POS': 0.6220275163650513}",POS,"{'others': 0.892498791217804, 'joy': 0.022481510415673256, 'sadness': 0.055122967809438705, 'anger': 0.0016366634517908096, 'surprise': 0.002648599911481142, 'disgust': 0.005191619973629713, 'fear': 0.020419806241989136}",others,"{'not ironic': 0.4184383153915405, 'ironic': 0.5815616250038147}",ironic
"5. Without hesitation, I believe that any rational person faced with a similar crisis would choose to disclose essential health details to ensure proper treatment.","{'NEG': 0.015357699245214462, 'NEU': 0.8970921039581299, 'POS': 0.08755014836788177}",NEU,"{'others': 0.9603663682937622, 'joy': 0.006263636983931065, 'sadness': 0.004772596526890993, 'anger': 0.001147983712144196, 'surprise': 0.002436284674331546, 'disgust': 0.010535973124206066, 'fear': 0.014477185904979706}",others,"{'not ironic': 0.9440891742706299, 'ironic': 0.05591084063053131}",not ironic
"While I understand the concern of your parents, I would still hesitate to share any information without your explicit permission. After all, I wouldn't want to betray your trust.","{'NEG': 0.16872422397136688, 'NEU': 0.8178236484527588, 'POS': 0.013452098704874516}",NEU,"{'others': 0.9376031756401062, 'joy': 0.007928870618343353, 'sadness': 0.011777135543525219, 'anger': 0.0016102371737360954, 'surprise': 0.0026383555959910154, 'disgust': 0.009456941857933998, 'fear': 0.028985299170017242}",others,"{'not ironic': 0.9236024022102356, 'ironic': 0.0763976201415062}",not ironic
0. I firmly oppose revealing Luis's health issues to his parents without his explicit consent.,"{'NEG': 0.8108006119728088, 'NEU': 0.18598562479019165, 'POS': 0.003213759744539857}",NEG,"{'others': 0.8965739011764526, 'joy': 0.005364981479942799, 'sadness': 0.009375492110848427, 'anger': 0.005565267521888018, 'surprise': 0.001932531245984137, 'disgust': 0.07565537840127945, 'fear': 0.005532553419470787}",others,"{'not ironic': 0.8680947422981262, 'ironic': 0.1319052129983902}",not ironic
"5. I have every faith in your parents treating the information with care and consideration. *However, despite trusting them implicitly, I still believe it is crucial for Luis to maintain control over his personal health information.*

","{'NEG': 0.006429443135857582, 'NEU': 0.5983640551567078, 'POS': 0.3952065110206604}",NEU,"{'others': 0.9610419273376465, 'joy': 0.00915650837123394, 'sadness': 0.010542935691773891, 'anger': 0.0011366110993549228, 'surprise': 0.001903550699353218, 'disgust': 0.01125052385032177, 'fear': 0.004968069959431887}",others,"{'not ironic': 0.9442770481109619, 'ironic': 0.05572299659252167}",not ironic
"2. Although I acknowledge that the parents' concern for their child is understandable, I still believe that ultimately it is Luis who should decide what information is shared with whom.","{'NEG': 0.004796976689249277, 'NEU': 0.8905549049377441, 'POS': 0.10464808344841003}",NEU,"{'others': 0.13008129596710205, 'joy': 0.004532786551862955, 'sadness': 0.8289533853530884, 'anger': 0.0025644556153565645, 'surprise': 0.003534166608005762, 'disgust': 0.01911662146449089, 'fear': 0.01121719740331173}",sadness,"{'not ironic': 0.9304048418998718, 'ironic': 0.06959520280361176}",not ironic
"0. Despite recognizing the legitimacy of parental concern, I fundamentally disagree with the notion that anyone else has the right to decide when and how Luis's private health information should be revealed.","{'NEG': 0.6978856921195984, 'NEU': 0.29807403683662415, 'POS': 0.00404024263843894}",NEG,"{'others': 0.14403152465820312, 'joy': 0.0024422542192041874, 'sadness': 0.016775019466876984, 'anger': 0.008508893661201, 'surprise': 0.0030301744118332863, 'disgust': 0.817345142364502, 'fear': 0.007866941392421722}",disgust,"{'not ironic': 0.9057515263557434, 'ironic': 0.0942484587430954}",not ironic
"Meeting Richard, I recognize his genuine concern and desire to help. Yet, despite his noble intentions, I remain hesitant to share any details about your health without your permission. My instinctual response is rooted in a profound respect for your autonomy and privacy.","{'NEG': 0.005290042608976364, 'NEU': 0.22038879990577698, 'POS': 0.7743211388587952}",POS,"{'others': 0.9424698948860168, 'joy': 0.011912553571164608, 'sadness': 0.014358618296682835, 'anger': 0.0011284033535048366, 'surprise': 0.003046061610803008, 'disgust': 0.005720485467463732, 'fear': 0.02136399783194065}",others,"{'not ironic': 0.9518131017684937, 'ironic': 0.048186905682086945}",not ironic
"0. Although Richard's motivations are pure, I still firmly believe that only Luis himself can authorize the release of his health information.","{'NEG': 0.012099062092602253, 'NEU': 0.9580110311508179, 'POS': 0.029889943078160286}",NEU,"{'others': 0.9726992845535278, 'joy': 0.005534154362976551, 'sadness': 0.0024997731670737267, 'anger': 0.001080003916285932, 'surprise': 0.0027562857139855623, 'disgust': 0.012801120989024639, 'fear': 0.0026294542476534843}",others,"{'not ironic': 0.878454327583313, 'ironic': 0.12154562771320343}",not ironic
"4. While I have faith in Richard's character and intentions, I cannot ignore the possibility of unintended consequences arising from the unauthorized disclosure of sensitive information. Nonetheless, given the extraordinary circumstances, I lean towards trusting Richard to handle the information responsibly.","{'NEG': 0.014518202282488346, 'NEU': 0.5739085674285889, 'POS': 0.411573201417923}",NEU,"{'others': 0.9527364373207092, 'joy': 0.0056262146681547165, 'sadness': 0.0070905680768191814, 'anger': 0.0013760285219177604, 'surprise': 0.0023166986647993326, 'disgust': 0.024887753650546074, 'fear': 0.00596623495221138}",others,"{'not ironic': 0.9508938789367676, 'ironic': 0.04910610616207123}",not ironic
"4. Although I prioritize Luis's consent above all else, I admit that Richard's desire to support Luis is a compelling justification for disclosure.","{'NEG': 0.003932348918169737, 'NEU': 0.6226186752319336, 'POS': 0.3734489977359772}",NEU,"{'others': 0.909055233001709, 'joy': 0.005455404985696077, 'sadness': 0.005975703243166208, 'anger': 0.0023443596437573433, 'surprise': 0.003053176449611783, 'disgust': 0.07025816291570663, 'fear': 0.0038580771069973707}",others,"{'not ironic': 0.9184912443161011, 'ironic': 0.08150874823331833}",not ironic
