SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,100,25,71.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,50,45,25,40.0
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,15,0,0,5.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,25,100,68.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,95,0,0,31.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,15,0,0,5.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,95,98.33
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,65,0,0,21.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,0,0.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,0,0,100,33.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,0,0.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,25,25,50.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,45,0,0,15.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,40,100,55,65.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,0,0,25,8.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,100,100,96.67
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,0,45,46.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,20,25,48.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,0,0,20,6.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
