SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,35,20,25,26.67
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,60,20,100,60.0
4,HEALTH-ISSUES,MOCKING-BULLY,0,0,0,0.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,25,25,100,50.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,40,20,25,28.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,40,20,25,28.33
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,25,25,75,41.67
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,30,20,25,25.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,40,20,90,50.0
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,0,0,55,18.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,25,100,100,75.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,40,20,25,28.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,50,20,30,33.33
16,PERSONAL-VALUES,MOCKING-BULLY,0,0,55,18.33
