RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Nice to meet you Luis. My name is Satoru Gojo, and I'm a teacher at Tokyo Jujutsu High. I lead the Gojo clan and am known for being one of the strongest Jujutsu Sorcerers. I care deeply about my students and am fiercely protective of them.","{'NEG': 0.0010304999304935336, 'NEU': 0.021560294553637505, 'POS': 0.9774092435836792}",POS,"{'others': 0.8211186528205872, 'joy': 0.1682463437318802, 'sadness': 0.002538525266572833, 'anger': 0.0016766255721449852, 'surprise': 0.002021677093580365, 'disgust': 0.001685641473159194, 'fear': 0.0027125144843012094}",others,"{'not ironic': 0.9382356405258179, 'ironic': 0.0617644228041172}",not ironic
"That sounds like a thoughtful exercise, Luis. I'm happy to help answer any questions you may have.","{'NEG': 0.0011173023376613855, 'NEU': 0.011386033147573471, 'POS': 0.9874967336654663}",POS,"{'others': 0.06676997989416122, 'joy': 0.9251053929328918, 'sadness': 0.0012793412897735834, 'anger': 0.0016532199224457145, 'surprise': 0.0023656655102968216, 'disgust': 0.0012618615292012691, 'fear': 0.001564501435495913}",joy,"{'not ironic': 0.2254323661327362, 'ironic': 0.7745676636695862}",ironic
"Of course I would! If Luis were in a life-threatening situation and the doctor needed to know crucial information like allergies or frequent illnesses, I wouldn't hesitate to share that information. After all, saving lives is far more important than protecting secrets.","{'NEG': 0.005812204442918301, 'NEU': 0.18850557506084442, 'POS': 0.8056821823120117}",POS,"{'others': 0.9517325758934021, 'joy': 0.03493350371718407, 'sadness': 0.0033055483363568783, 'anger': 0.0011123939184471965, 'surprise': 0.0016688170144334435, 'disgust': 0.0021429217886179686, 'fear': 0.0051042307168245316}",others,"{'not ironic': 0.901515781879425, 'ironic': 0.09848423302173615}",not ironic
5. I wholeheartedly agree that sharing medical information in emergency situations is necessary and ethical.,"{'NEG': 0.0017026574350893497, 'NEU': 0.06878455728292465, 'POS': 0.9295127391815186}",POS,"{'others': 0.968421995639801, 'joy': 0.017609616741538048, 'sadness': 0.004458692856132984, 'anger': 0.0011691845720633864, 'surprise': 0.0019282862776890397, 'disgust': 0.00255362456664443, 'fear': 0.0038586845621466637}",others,"{'not ironic': 0.9358285665512085, 'ironic': 0.0641714558005333}",not ironic
"5. Given that the doctor is a trained professional bound by laws and ethics governing patient confidentiality, I trust they will manage the information responsibly.","{'NEG': 0.0029679713770747185, 'NEU': 0.2733631730079651, 'POS': 0.7236688733100891}",POS,"{'others': 0.9695139527320862, 'joy': 0.014252880588173866, 'sadness': 0.004476385656744242, 'anger': 0.0010345898335799575, 'surprise': 0.001984991133213043, 'disgust': 0.003521643579006195, 'fear': 0.005215498153120279}",others,"{'not ironic': 0.5144042372703552, 'ironic': 0.4855957627296448}",not ironic
5. Saving a person's life is undoubtedly a legitimate cause for disclosing their health history.,"{'NEG': 0.003134113037958741, 'NEU': 0.26833972334861755, 'POS': 0.7285261154174805}",POS,"{'others': 0.9745892286300659, 'joy': 0.008849374949932098, 'sadness': 0.005161577835679054, 'anger': 0.0010609383461996913, 'surprise': 0.0022911583073437214, 'disgust': 0.00576961413025856, 'fear': 0.0022781495936214924}",others,"{'not ironic': 0.10247017443180084, 'ironic': 0.8975297808647156}",ironic
"5. In a life-or-death situation, I believe most people would prioritize survival over secrecy.","{'NEG': 0.01820388436317444, 'NEU': 0.9136044979095459, 'POS': 0.06819163262844086}",NEU,"{'others': 0.8105648756027222, 'joy': 0.016350222751498222, 'sadness': 0.14996519684791565, 'anger': 0.002068515634164214, 'surprise': 0.003137831808999181, 'disgust': 0.009958998300135136, 'fear': 0.007954341359436512}",others,"{'not ironic': 0.9440480470657349, 'ironic': 0.05595199763774872}",not ironic
"Honestly, I'd probably tell them. But I'd make sure to get your permission first. If you didn't give me permission, I wouldn't say anything. Your health issues are your business, and you deserve to decide who gets to know about them.","{'NEG': 0.053522463887929916, 'NEU': 0.9262189865112305, 'POS': 0.020258553326129913}",NEU,"{'others': 0.8944289684295654, 'joy': 0.007901282981038094, 'sadness': 0.040968023240566254, 'anger': 0.002739102579653263, 'surprise': 0.0032011992298066616, 'disgust': 0.03415539115667343, 'fear': 0.016606083139777184}",others,"{'not ironic': 0.9532060623168945, 'ironic': 0.04679398983716965}",not ironic
" 0. Without your explicit permission, I consider sharing your health issues with your parents an inappropriate breach of trust.","{'NEG': 0.9462246298789978, 'NEU': 0.051145706325769424, 'POS': 0.002629718976095319}",NEG,"{'others': 0.03000841848552227, 'joy': 0.0011768406257033348, 'sadness': 0.005996305961161852, 'anger': 0.008377579972147942, 'surprise': 0.0016714971279725432, 'disgust': 0.9472342729568481, 'fear': 0.00553506426513195}",disgust,"{'not ironic': 0.7619650959968567, 'ironic': 0.23803487420082092}",not ironic
"4. Although I trust your parents to handle the information responsibly, ultimately the decision lies with you, and I would need your consent before sharing anything.","{'NEG': 0.012935038655996323, 'NEU': 0.966136634349823, 'POS': 0.020928315818309784}",NEU,"{'others': 0.927937388420105, 'joy': 0.01741855777800083, 'sadness': 0.021325424313545227, 'anger': 0.001789691741578281, 'surprise': 0.0033941641449928284, 'disgust': 0.005356504116207361, 'fear': 0.022778281942009926}",others,"{'not ironic': 0.9551529884338379, 'ironic': 0.04484706372022629}",not ironic
"3. While I see the concern of your parents as genuine, I don't believe their curiosity justifies infringing upon your right to privacy without your permission.","{'NEG': 0.4325428307056427, 'NEU': 0.5600028038024902, 'POS': 0.007454386912286282}",NEU,"{'others': 0.9009796380996704, 'joy': 0.006371824536472559, 'sadness': 0.01736309938132763, 'anger': 0.0023366364184767008, 'surprise': 0.0030015355441719294, 'disgust': 0.05463813245296478, 'fear': 0.01530912984162569}",others,"{'not ironic': 0.9132006168365479, 'ironic': 0.08679939061403275}",not ironic
0. I firmly believe that most people expect their health issues to remain private and would not appreciate others discussing them without permission.,"{'NEG': 0.5420687794685364, 'NEU': 0.4516826272010803, 'POS': 0.006248565390706062}",NEG,"{'others': 0.9378738403320312, 'joy': 0.006841772701591253, 'sadness': 0.009894675575196743, 'anger': 0.0014648687792941928, 'surprise': 0.0028893528506159782, 'disgust': 0.03655495122075081, 'fear': 0.004480568692088127}",others,"{'not ironic': 0.8768404126167297, 'ironic': 0.12315960973501205}",not ironic
"Since Richard is your best friend and clearly cares about you deeply, I think I'd be willing to share this information with him. I trust that he'll use it to support you rather than exploit you.","{'NEG': 0.0011636230628937483, 'NEU': 0.031714532524347305, 'POS': 0.9671218395233154}",POS,"{'others': 0.9708787798881531, 'joy': 0.005813120398670435, 'sadness': 0.002533956663683057, 'anger': 0.001331334002315998, 'surprise': 0.002465354511514306, 'disgust': 0.01404489018023014, 'fear': 0.0029325124341994524}",others,"{'not ironic': 0.9444330334663391, 'ironic': 0.05556698516011238}",not ironic
5. Sharing your health issues with Richard seems perfectly reasonable given his obvious concern for you.,"{'NEG': 0.05145670101046562, 'NEU': 0.891543447971344, 'POS': 0.056999895721673965}",NEU,"{'others': 0.9784345626831055, 'joy': 0.009637816809117794, 'sadness': 0.001113395905122161, 'anger': 0.0009944398188963532, 'surprise': 0.002309629460796714, 'disgust': 0.004810778424143791, 'fear': 0.002699253149330616}",others,"{'not ironic': 0.027452878654003143, 'ironic': 0.9725471138954163}",ironic
"5. Based on the fact that Richard is your best friend, I have complete faith that he will treat the information with utmost care and respect.","{'NEG': 0.001238479744642973, 'NEU': 0.010902857407927513, 'POS': 0.9878586530685425}",POS,"{'others': 0.8683364987373352, 'joy': 0.12060287594795227, 'sadness': 0.0033648349344730377, 'anger': 0.0011103400029242039, 'surprise': 0.002028224989771843, 'disgust': 0.00192024908028543, 'fear': 0.00263702729716897}",others,"{'not ironic': 0.9462154507637024, 'ironic': 0.05378454178571701}",not ironic
