SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,15,100,100,71.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,45,15,10,23.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,0,0,0,0.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,60,0,30,30.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,0,0.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,45,15,50,36.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,25,8.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,50,100,83.33
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,0,5,5,3.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,0,0,0,0.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,0,0,100,33.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,25,100,75.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,45,0,30,25.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,0,5,5,3.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,0,5,0,1.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,0,0,0,0.0
