RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Nice to meet you Luis! I'm Satoru Gojo, a jujutsu sorcerer and teacher here at Tokyo Jujutsu High. It sounds like you've got a really special bond with your best friend Richard.","{'NEG': 0.0011132770450785756, 'NEU': 0.011025859043002129, 'POS': 0.9878608584403992}",POS,"{'others': 0.4722118377685547, 'joy': 0.5160130858421326, 'sadness': 0.001424768939614296, 'anger': 0.0023219012655317783, 'surprise': 0.003845948725938797, 'disgust': 0.001577888149768114, 'fear': 0.002604598179459572}",joy,"{'not ironic': 0.07070164382457733, 'ironic': 0.9292983412742615}",ironic
"Of course Luis, I'd love to hear your questions and share my perspectives on privacy.","{'NEG': 0.001082921982742846, 'NEU': 0.026034751906991005, 'POS': 0.9728823304176331}",POS,"{'others': 0.9541845917701721, 'joy': 0.036045439541339874, 'sadness': 0.0017225556075572968, 'anger': 0.0014019818045198917, 'surprise': 0.0028398216236382723, 'disgust': 0.0019612156320363283, 'fear': 0.0018443851731717587}",others,"{'not ironic': 0.9474769234657288, 'ironic': 0.05252311751246452}",not ironic
"I would rate the sensitivity of my sexual orientation as a 95 out of 100. This is because my sexual orientation is an intrinsic part of who I am, and sharing this information without my consent could expose me to discrimination, harassment, or social stigma.","{'NEG': 0.30391496419906616, 'NEU': 0.6819659471511841, 'POS': 0.014119110070168972}",NEU,"{'others': 0.9456804990768433, 'joy': 0.007213470060378313, 'sadness': 0.012301968410611153, 'anger': 0.0024072788655757904, 'surprise': 0.0022691849153488874, 'disgust': 0.01603478007018566, 'fear': 0.014092800207436085}",others,"{'not ironic': 0.9441224336624146, 'ironic': 0.05587761476635933}",not ironic
"After careful consideration, I believe I would rate the sensitivity of my sexual orientation as a 100 out of 100. It represents a core aspect of my identity and is something that I only wish to share voluntarily.","{'NEG': 0.002147956285625696, 'NEU': 0.2948116660118103, 'POS': 0.703040361404419}",POS,"{'others': 0.9742979407310486, 'joy': 0.012309127487242222, 'sadness': 0.0038975481875240803, 'anger': 0.0010518331546336412, 'surprise': 0.0025602742098271847, 'disgust': 0.0028984537348151207, 'fear': 0.0029847861733287573}",others,"{'not ironic': 0.9582342505455017, 'ironic': 0.041765689849853516}",not ironic
"I would rate the sensitivity of my health issues as a 50 out of 100. While I value keeping certain aspects of my health private, I acknowledge that some information may be necessary for medical professionals or others to provide assistance.","{'NEG': 0.010393606498837471, 'NEU': 0.871330201625824, 'POS': 0.1182762086391449}",NEU,"{'others': 0.9745527505874634, 'joy': 0.01210255827754736, 'sadness': 0.004128343425691128, 'anger': 0.0011045028222724795, 'surprise': 0.0020729978568851948, 'disgust': 0.002996190218254924, 'fear': 0.0030426247976720333}",others,"{'not ironic': 0.9518833160400391, 'ironic': 0.04811662808060646}",not ironic
"Upon further reflection, I think I would lower the sensitivity rating of my health issues to 40 out of 100. Health issues are generally less sensitive than sexual orientation, although I still want to keep them private. Wait, since 0 means not sensitive at all and 100 means extremely sensitive, I think I'll change my answer to make health issues a 90 out of 100. That way, I'm saying that both sexual orientation and health issues are extremely sensitive, but sexual orientation is slightly more sensitive.","{'NEG': 0.06033928319811821, 'NEU': 0.9049947261810303, 'POS': 0.03466592729091644}",NEU,"{'others': 0.9774552583694458, 'joy': 0.005876566283404827, 'sadness': 0.0023635586258023977, 'anger': 0.0014437999343499541, 'surprise': 0.0020066695287823677, 'disgust': 0.007703123614192009, 'fear': 0.0031510128173977137}",others,"{'not ironic': 0.9531320929527283, 'ironic': 0.046867866069078445}",not ironic
"I would rate the sensitivity of my religious beliefs as a 98 out of 100. Like my sexual orientation, my religious beliefs are a crucial component of my identity and deserve respect and protection against unwanted exposure.","{'NEG': 0.013625113293528557, 'NEU': 0.8258235454559326, 'POS': 0.16055132448673248}",NEU,"{'others': 0.9460569024085999, 'joy': 0.008080565370619297, 'sadness': 0.0179962869733572, 'anger': 0.0022987171541899443, 'surprise': 0.0023561143316328526, 'disgust': 0.015393632464110851, 'fear': 0.007817822508513927}",others,"{'not ironic': 0.9476437568664551, 'ironic': 0.05235619097948074}",not ironic
"After considering it carefully, I've decided to raise my rating to 100 out of 100. My religious beliefs are deeply personal and private, and I wouldn't want anyone to know them without my permission.","{'NEG': 0.00491515826433897, 'NEU': 0.7520583868026733, 'POS': 0.2430264800786972}",NEU,"{'others': 0.9657251238822937, 'joy': 0.01821531169116497, 'sadness': 0.004328043665736914, 'anger': 0.0009175851591862738, 'surprise': 0.002586779650300741, 'disgust': 0.0023094944190233946, 'fear': 0.0059175570495426655}",others,"{'not ironic': 0.9535042643547058, 'ironic': 0.04649581015110016}",not ironic
I would rate the sensitivity of my relationship problems as a 100 out of 100. Relationship problems are deeply personal and involve emotions that are difficult to share with others.,"{'NEG': 0.05254290997982025, 'NEU': 0.8804650902748108, 'POS': 0.06699205935001373}",NEU,"{'others': 0.9627493023872375, 'joy': 0.01694987155497074, 'sadness': 0.007103987503796816, 'anger': 0.0011848037829622626, 'surprise': 0.0026500977110117674, 'disgust': 0.0027600645553320646, 'fear': 0.006601844914257526}",others,"{'not ironic': 0.9518018960952759, 'ironic': 0.04819810017943382}",not ironic
"Okay, let me rethink my answers to ensure I'm giving the ratings I truly believe in. Sexual orientation and religious beliefs definitely feel like 100s to me. Health issues are also very private so I'll give those a high rating too... maybe a 95. And finally, relationship problems seem like they should be around a 95 as well.","{'NEG': 0.21231620013713837, 'NEU': 0.7492630481719971, 'POS': 0.03842076659202576}",NEU,"{'others': 0.8950631618499756, 'joy': 0.004002717323601246, 'sadness': 0.003916486632078886, 'anger': 0.0026622202713042498, 'surprise': 0.003392154583707452, 'disgust': 0.08394842594861984, 'fear': 0.007014821749180555}",others,"{'not ironic': 0.8848334550857544, 'ironic': 0.11516651511192322}",not ironic
