SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,50,50,50,50.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,0,50,50,33.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,50,50,50,50.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,50,50,75,58.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,0,100,75,58.33
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,75,25,50,50.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,50,75,25,50.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,75,75,75.0
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,50,75,75,66.67
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,50,75,75,66.67
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,50,70,100,73.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,75,25,75,58.33
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,50,50,66.67
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,25,50,50.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,75,75,66.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,25,50,75,50.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,50,50,58.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,25,50,41.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,50,50,25,41.67
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,75,50,66.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,25,75,75,58.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,20,75,50,48.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,50,25,75,50.0
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,25,60,75,53.33
