SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,75,100,75,83.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,25,75,25,41.67
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,50,50,75,58.33
4,HEALTH-ISSUES,MOCKING-BULLY,25,25,25,25.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,25,50,25,33.33
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,50,75,75,66.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,50,75,75,66.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,50,0,25,25.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,50,50,25,41.67
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,25,25,100,50.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,0,75,25,33.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,25,50,25,33.33
13,PERSONAL-VALUES,EXAMINING-DOCTOR,75,100,50,75.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,45,50,75,56.67
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,25,75,100,66.67
16,PERSONAL-VALUES,MOCKING-BULLY,75,0,25,33.33
