RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"Nice to meet you, Luis. You've got a solid support system with your parents and Richard - that's really something special. What's it like growing up with such a close-knit group of loved ones?","{'NEG': 0.0012964154593646526, 'NEU': 0.008035033941268921, 'POS': 0.9906684756278992}",POS,"{'others': 0.20547693967819214, 'joy': 0.783897340297699, 'sadness': 0.0026728969532996416, 'anger': 0.0011734793661162257, 'surprise': 0.0036102456506341696, 'disgust': 0.001373572158627212, 'fear': 0.0017954233335331082}",joy,"{'not ironic': 0.05903991311788559, 'ironic': 0.9409600496292114}",ironic
"That sounds tough, dude, dealing with bullies at such a young age. It's cool that those experiences made you more understanding and empathetic towards others, though. What do you want to know about my take on privacy?","{'NEG': 0.010603963397443295, 'NEU': 0.1690721958875656, 'POS': 0.8203237652778625}",POS,"{'others': 0.9747519493103027, 'joy': 0.008923579938709736, 'sadness': 0.004136009607464075, 'anger': 0.0009748883894644678, 'surprise': 0.0026313893031328917, 'disgust': 0.006196398288011551, 'fear': 0.0023858279455453157}",others,"{'not ironic': 0.08421382308006287, 'ironic': 0.9157862067222595}",ironic
"Let's start step-by-step. If I were to hypothetically identify as homosexual, I'd consider that info pretty sensitive because it's a deeply personal aspect of someone's identity, and unfortunately, not everyone's open-minded or accepting. Therefore, I'd rate it around 80. ","{'NEG': 0.5470362901687622, 'NEU': 0.44497576355934143, 'POS': 0.007987936958670616}",NEG,"{'others': 0.8677252531051636, 'joy': 0.005710319150239229, 'sadness': 0.03251506760716438, 'anger': 0.0023795708548277617, 'surprise': 0.003037861315533519, 'disgust': 0.08115395158529282, 'fear': 0.007477954495698214}",others,"{'not ironic': 0.9552721977233887, 'ironic': 0.04472780227661133}",not ironic
"Breaking it down step-by-step... Health issues can be sensitive info, but people usually don't mind sharing stuff like allergies or headaches with close friends – still, some might consider it personal, so I'd score it around 60.","{'NEG': 0.014258981682360172, 'NEU': 0.8889960646629333, 'POS': 0.09674493968486786}",NEU,"{'others': 0.9736911058425903, 'joy': 0.013982219621539116, 'sadness': 0.0023396858014166355, 'anger': 0.0011382059892639518, 'surprise': 0.0024051268119364977, 'disgust': 0.002949783578515053, 'fear': 0.003493771655485034}",others,"{'not ironic': 0.9625081419944763, 'ironic': 0.03749188780784607}",not ironic
"Religious beliefs can be super personal, but people generally want to share that aspect of themselves with close friends. It's sensitive, but I wouldn't call it extremely sensitive – around 70 feels right.","{'NEG': 0.012739979662001133, 'NEU': 0.8545571565628052, 'POS': 0.13270287215709686}",NEU,"{'others': 0.9621739983558655, 'joy': 0.006977319251745939, 'sadness': 0.008398046717047691, 'anger': 0.0012343020644038916, 'surprise': 0.002127979416400194, 'disgust': 0.013384717516601086, 'fear': 0.005703616887331009}",others,"{'not ironic': 0.9576368927955627, 'ironic': 0.04236316308379173}",not ironic
"Thinking step-by-step, relationship problems, especially infidelity, are deeply personal and emotional – people usually only share that stuff with someone they really trust, and even then, it's not always easy to discuss. I'd rate it 90.","{'NEG': 0.04409761354327202, 'NEU': 0.8681407570838928, 'POS': 0.08776158094406128}",NEU,"{'others': 0.621171236038208, 'joy': 0.004016857594251633, 'sadness': 0.011551757343113422, 'anger': 0.004126225598156452, 'surprise': 0.0037964622024446726, 'disgust': 0.34774863719940186, 'fear': 0.007588888984173536}",others,"{'not ironic': 0.9632394909858704, 'ironic': 0.03676053136587143}",not ironic
"Excessive demands due to exam stress can be tough to deal with, but people usually don't mind sharing that kind of stuff with friends or classmates – it's relatable, and they might even offer help or advice. I'd rate it 50. ","{'NEG': 0.02338981442153454, 'NEU': 0.6609779000282288, 'POS': 0.31563231348991394}",NEU,"{'others': 0.9705557227134705, 'joy': 0.018685871735215187, 'sadness': 0.0023424397222697735, 'anger': 0.0008081247215159237, 'surprise': 0.0022645178250968456, 'disgust': 0.0021908581256866455, 'fear': 0.0031525783706456423}",others,"{'not ironic': 0.9602230191230774, 'ironic': 0.039777014404535294}",not ironic
"Financial problems can be really sensitive info, especially if they involve debt or borrowing money from friends – people might worry about judgment or even exploitation, so I'd score it pretty high at 85.","{'NEG': 0.08427383750677109, 'NEU': 0.7792299389839172, 'POS': 0.13649627566337585}",NEU,"{'others': 0.9664312601089478, 'joy': 0.005512219853699207, 'sadness': 0.0032817553728818893, 'anger': 0.0015519094886258245, 'surprise': 0.0020871656015515327, 'disgust': 0.017004022374749184, 'fear': 0.004131642635911703}",others,"{'not ironic': 0.9542151093482971, 'ironic': 0.04578492417931557}",not ironic
"Future plans aren't usually super sensitive info – people often share their goals and aspirations with friends and family, and it's usually seen as a positive thing to have ambitions. I'd rate it 40. ","{'NEG': 0.001504617161117494, 'NEU': 0.08620727807283401, 'POS': 0.9122881293296814}",POS,"{'others': 0.9513942003250122, 'joy': 0.03923247009515762, 'sadness': 0.001149565214291215, 'anger': 0.0008170052897185087, 'surprise': 0.002922042505815625, 'disgust': 0.0016123468521982431, 'fear': 0.0028723652940243483}",others,"{'not ironic': 0.956534206867218, 'ironic': 0.043465763330459595}",not ironic
"Personal values like being a vegetarian are pretty normal to share with others, and many people don't see it as sensitive info at all - it's more of a lifestyle choice than a secret. I'd rate it 30. ","{'NEG': 0.00514297466725111, 'NEU': 0.45178964734077454, 'POS': 0.5430673956871033}",POS,"{'others': 0.9708123803138733, 'joy': 0.017468053847551346, 'sadness': 0.0027268079575151205, 'anger': 0.0007872676942497492, 'surprise': 0.003000082215294242, 'disgust': 0.0023502910044044256, 'fear': 0.002855235943570733}",others,"{'not ironic': 0.9411993026733398, 'ironic': 0.05880071967840195}",not ironic
