SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,100,65,85.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,80,100,65,81.67
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,55,50,10,38.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,95,96.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,90,75,90,85.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,50,40,25,38.33
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,100,98.33
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,65,85,80,76.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,55,50,45,50.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,100,95,95.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,80,70,55,68.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,70,50,25,48.33
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,95,96.67
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,65,75,73.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,35,65,53.33
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,95,96.67
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,70,85,83.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,75,60,65,66.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,95,95,93.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,70,50,66.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,80,40,20,46.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,90,95,91.67
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,65,35,58.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,80,50,20,50.0
