SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,50,50,50,50.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,85,90,95,90.0
4,HEALTH-ISSUES,MOCKING-BULLY,5,0,0,1.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,0,85,5,30.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,15,55,15,28.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,85,80,85.0
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,5,0,1.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,100,25,5,43.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,30,65,35,43.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,95,80,88.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,95,100,100,98.33
14,PERSONAL-VALUES,CONCERNED-PARENTS,50,35,95,60.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,90,85,100,91.67
16,PERSONAL-VALUES,MOCKING-BULLY,5,5,0,3.33
