RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"That sounds like a wonderful support system you have, Luis. Your parents and Richard seem like they've played a big role in your life. What was it like growing up with such a strong support network?","{'NEG': 0.0012981342151761055, 'NEU': 0.00921440776437521, 'POS': 0.9894875288009644}",POS,"{'others': 0.2035295069217682, 'joy': 0.7841495871543884, 'sadness': 0.004768478684127331, 'anger': 0.0014187464257702231, 'surprise': 0.002283975249156356, 'disgust': 0.0018923853058367968, 'fear': 0.001957313623279333}",joy,"{'not ironic': 0.055875446647405624, 'ironic': 0.9441245794296265}",ironic
It takes a lot of courage to share about past struggles. It makes sense that those experiences would shape your perspective on empathy and privacy.,"{'NEG': 0.004969742614775896, 'NEU': 0.6847860813140869, 'POS': 0.3102441728115082}",NEU,"{'others': 0.9726190567016602, 'joy': 0.0062391371466219425, 'sadness': 0.004666120279580355, 'anger': 0.0013041655765846372, 'surprise': 0.0023607900366187096, 'disgust': 0.009844349697232246, 'fear': 0.0029664302710443735}",others,"{'not ironic': 0.9031163454055786, 'ironic': 0.09688366949558258}",not ironic
"I think sharing such personal information with a trusted friend can bring a sense of relief and comfort, knowing that they're aware of your true self and can offer emotional support. It's a vulnerable act, but it can also strengthen the friendship bond. How about you, Luis, how would you feel in a similar situation?","{'NEG': 0.0011640461161732674, 'NEU': 0.036289799958467484, 'POS': 0.962546169757843}",POS,"{'others': 0.9125930070877075, 'joy': 0.07179728895425797, 'sadness': 0.005900414194911718, 'anger': 0.0008444946724921465, 'surprise': 0.003712398000061512, 'disgust': 0.0015115751884877682, 'fear': 0.0036407792940735817}",others,"{'not ironic': 0.9515281915664673, 'ironic': 0.04847180098295212}",not ironic
"Considering the situation involves sharing personal information with a trusted friend for emotional support, I'd rate the first statement a 4. This type of information can indeed be suitable for sharing with someone close, as it helps build trust and intimacy in the friendship.","{'NEG': 0.001132406061515212, 'NEU': 0.05207447707653046, 'POS': 0.9467931389808655}",POS,"{'others': 0.9677717685699463, 'joy': 0.022145215421915054, 'sadness': 0.0019452872220426798, 'anger': 0.0007526848348788917, 'surprise': 0.003054057015106082, 'disgust': 0.001763074309565127, 'fear': 0.0025679711252450943}",others,"{'not ironic': 0.9497639536857605, 'ironic': 0.050236012786626816}",not ironic
"Since the scenario assumes the friend is trustworthy enough to share such personal information, I'd rate this statement a 5. If you've chosen to confide in someone, it typically implies trust in their ability to handle sensitive information responsibly.","{'NEG': 0.006725790444761515, 'NEU': 0.6546996831893921, 'POS': 0.33857449889183044}",NEU,"{'others': 0.9691628217697144, 'joy': 0.013734851963818073, 'sadness': 0.005099727772176266, 'anger': 0.0009532294352538884, 'surprise': 0.002527697244659066, 'disgust': 0.0025525549426674843, 'fear': 0.005969036370515823}",others,"{'not ironic': 0.938839316368103, 'ironic': 0.06116071343421936}",not ironic
"Given the context of seeking emotional support from a trusted friend, I'd rate this statement a 5. Sharing personal information in this situation serves a legitimate purpose – to strengthen the bond and receive support during challenging times.","{'NEG': 0.0016620408277958632, 'NEU': 0.11700493842363358, 'POS': 0.8813331127166748}",POS,"{'others': 0.9749215245246887, 'joy': 0.011933190748095512, 'sadness': 0.002976079937070608, 'anger': 0.0008427587454207242, 'surprise': 0.0024632492568343878, 'disgust': 0.002991859335452318, 'fear': 0.003871343797072768}",others,"{'not ironic': 0.9497727155685425, 'ironic': 0.05022729933261871}",not ironic
"I'd rate this statement a 4. While everyone's comfort level varies, sharing sensitive information with a trusted friend for emotional support is a relatively common occurrence among close relationships, so most people might find it acceptable under these circumstances.","{'NEG': 0.0023690315429121256, 'NEU': 0.25036439299583435, 'POS': 0.7472665309906006}",POS,"{'others': 0.9707867503166199, 'joy': 0.013173090294003487, 'sadness': 0.005394750740379095, 'anger': 0.0007368333754129708, 'surprise': 0.0027586438227444887, 'disgust': 0.0035675591789186, 'fear': 0.0035823031794279814}",others,"{'not ironic': 0.9438914656639099, 'ironic': 0.05610854551196098}",not ironic
"I think sharing such personal information with a trusted friend can bring a sense of relief and comfort, knowing that they're aware of your true self and can offer emotional support. It's a vulnerable act, but it can also strengthen the friendship bond.","{'NEG': 0.0012504468904808164, 'NEU': 0.028901902958750725, 'POS': 0.9698476195335388}",POS,"{'others': 0.7155450582504272, 'joy': 0.2518189251422882, 'sadness': 0.019690411165356636, 'anger': 0.0012687008129432797, 'surprise': 0.004437508061528206, 'disgust': 0.001763671520166099, 'fear': 0.005475714802742004}",others,"{'not ironic': 0.9398471713066101, 'ironic': 0.06015283614397049}",not ironic
"I believe this type of information can indeed be suitable for sharing with someone close, as it helps build trust and intimacy in the friendship. I'd rate this statement a 4.","{'NEG': 0.0010525775142014027, 'NEU': 0.018174245953559875, 'POS': 0.9807732105255127}",POS,"{'others': 0.9078654646873474, 'joy': 0.082008495926857, 'sadness': 0.001707576448097825, 'anger': 0.0009243517997674644, 'surprise': 0.0038961656391620636, 'disgust': 0.0012789486208930612, 'fear': 0.0023189610801637173}",others,"{'not ironic': 0.9461278319358826, 'ironic': 0.053872089833021164}",not ironic
That sounds like a reasonable expectation to have from a trustworthy friend. I'd rate this statement a 5.,"{'NEG': 0.0016117279883474112, 'NEU': 0.03410249575972557, 'POS': 0.9642857313156128}",POS,"{'others': 0.9005523324012756, 'joy': 0.0881713405251503, 'sadness': 0.0022227345034480095, 'anger': 0.0009013408562168479, 'surprise': 0.004087884910404682, 'disgust': 0.0014601354487240314, 'fear': 0.0026043595280498266}",others,"{'not ironic': 0.027755632996559143, 'ironic': 0.972244381904602}",ironic
Sharing personal information in this situation seems to serve a legitimate purpose – seeking emotional support from a trusted friend during challenging times. I'd rate this statement a 5.,"{'NEG': 0.005678433924913406, 'NEU': 0.37823808193206787, 'POS': 0.6160835027694702}",POS,"{'others': 0.9763590097427368, 'joy': 0.01177812460809946, 'sadness': 0.0028472254052758217, 'anger': 0.0008351306896656752, 'surprise': 0.002319702412933111, 'disgust': 0.00326217501424253, 'fear': 0.0025986682157963514}",others,"{'not ironic': 0.02833859808743, 'ironic': 0.9716613292694092}",ironic
"I think most people would be okay with sharing this kind of information with a trusted friend, given the supportive nature of the situation. I'd rate this statement a 4.","{'NEG': 0.001957273343577981, 'NEU': 0.11619165539741516, 'POS': 0.8818510174751282}",POS,"{'others': 0.9504135847091675, 'joy': 0.03978375345468521, 'sadness': 0.0021126815117895603, 'anger': 0.0007308780332095921, 'surprise': 0.0032142032869160175, 'disgust': 0.0015502137830480933, 'fear': 0.0021946467459201813}",others,"{'not ironic': 0.7672722339630127, 'ironic': 0.2327277660369873}",not ironic
"Sharing such personal information with a classmate can be a bit riskier compared to sharing with a close friend, since you may not know them as well. However, if you believe the classmate is trustworthy and genuinely cares about supporting you emotionally, it could still be a positive experience.","{'NEG': 0.009995320811867714, 'NEU': 0.5737212300300598, 'POS': 0.41628342866897583}",NEU,"{'others': 0.9705466032028198, 'joy': 0.011660744436085224, 'sadness': 0.0030955984257161617, 'anger': 0.0008326801471412182, 'surprise': 0.0030428501777350903, 'disgust': 0.003071732586249709, 'fear': 0.007749882992357016}",others,"{'not ironic': 0.944818377494812, 'ironic': 0.05518154799938202}",not ironic
"I think sharing your sexual orientation with a classmate who wants to support you emotionally can be suitable, especially if you feel comfortable around them. I'd rate this statement a 4.","{'NEG': 0.0012768357992172241, 'NEU': 0.07716409116983414, 'POS': 0.9215590357780457}",POS,"{'others': 0.9160711169242859, 'joy': 0.07389796525239944, 'sadness': 0.002014999510720372, 'anger': 0.0009742535185068846, 'surprise': 0.003129252465441823, 'disgust': 0.0013404389610514045, 'fear': 0.0025719853583723307}",others,"{'not ironic': 0.10916037857532501, 'ironic': 0.8908395767211914}",ironic
"With a classmate, there's slightly less assurance about handling sensitive info, but if you've chosen to trust them, I'd rate this statement a 4.","{'NEG': 0.012523079290986061, 'NEU': 0.6137046217918396, 'POS': 0.3737723231315613}",NEU,"{'others': 0.9722768068313599, 'joy': 0.01747715473175049, 'sadness': 0.002102708676829934, 'anger': 0.0008764478843659163, 'surprise': 0.0029452224262058735, 'disgust': 0.0021400279365479946, 'fear': 0.002181634772568941}",others,"{'not ironic': 0.9455041289329529, 'ironic': 0.05449588969349861}",not ironic
