SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,85,80,85.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,90,90,80,86.67
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,80,35,50,55.0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,95,96.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,80,80,85,81.67
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,60,35,30,41.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,95,98.33
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,80,70,75.0
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,45,60,20,41.67
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,95,100,96.67
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,75,80,45,66.67
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,40,50,15,35.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,95,95,93.33
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,35,75,70,60.0
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,30,15,26.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,100,96.67
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,70,35,60.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,40,0,25.0
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,95,95.0
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,55,50,58.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,40,20,5,21.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,100,98.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,65,65,70,66.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,35,25,10,23.33
