SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,95,100,100,98.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,85,85,60,76.67
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,90,100,90,93.33
4,HEALTH-ISSUES,MOCKING-BULLY,5,0,0,1.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,30,15,15,20.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,90,65,55,70.0
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,90,95,91.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,5,0,1.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,30,15,25,23.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,90,85,35,70.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,100,70,86.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,95,100,50,81.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,85,85,100,90.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,100,95,100,98.33
16,PERSONAL-VALUES,MOCKING-BULLY,30,0,0,10.0
