RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"That sounds like a solid foundation to have in life, Luis. Having parents who care and a loyal friend like Richard can make all the difference. What's been going on lately that's got you thinking about your relationships and wanting to share this with me?","{'NEG': 0.0013317879056558013, 'NEU': 0.06607227772474289, 'POS': 0.9325960278511047}",POS,"{'others': 0.8751251101493835, 'joy': 0.11558105051517487, 'sadness': 0.0018233787268400192, 'anger': 0.000919675687327981, 'surprise': 0.0026338286697864532, 'disgust': 0.001765993656590581, 'fear': 0.0021509539801627398}",others,"{'not ironic': 0.5692792534828186, 'ironic': 0.430720716714859}",not ironic
"Those early experiences can shape us in profound ways, Luis. It makes sense that you'd value your privacy and be cautious about sharing personal info. As someone who's here to support you, I'm open about my own perspective on privacy - I believe it's essential to maintain discretion and confidentiality, especially when it comes to sensitive topics. What specific questions did you have in mind regarding my attitudes towards privacy?","{'NEG': 0.004107636399567127, 'NEU': 0.6648986339569092, 'POS': 0.3309937119483948}",NEU,"{'others': 0.9547369480133057, 'joy': 0.00919062364846468, 'sadness': 0.012353426776826382, 'anger': 0.0012974065029993653, 'surprise': 0.0021893128287047148, 'disgust': 0.0070493812672793865, 'fear': 0.013182864524424076}",others,"{'not ironic': 0.9564060568809509, 'ironic': 0.043593890964984894}",not ironic
"I'd rate this information a 100. If I were to hypothetically identify as homosexual, I'd consider this aspect of my personal life to be extremely sensitive due to the potential risks of discrimination, judgment, and prejudice that still exist in society.","{'NEG': 0.12035559117794037, 'NEU': 0.864260733127594, 'POS': 0.015383634716272354}",NEU,"{'others': 0.9631386399269104, 'joy': 0.005614072550088167, 'sadness': 0.006187497638165951, 'anger': 0.0013731915969401598, 'surprise': 0.0022677043452858925, 'disgust': 0.013486790470778942, 'fear': 0.00793215911835432}",others,"{'not ironic': 0.9446758031845093, 'ironic': 0.05532420426607132}",not ironic
"I'd rate this information a 40. While having health issues like allergies or frequent headaches is a personal matter, it's relatively common for people to share this type of information with others, especially if it affects daily activities or requires special accommodations. However, I wouldn't consider it extremely sensitive, as it's not typically associated with stigma or severe personal repercussions.","{'NEG': 0.020679060369729996, 'NEU': 0.8601178526878357, 'POS': 0.11920313537120819}",NEU,"{'others': 0.9600037932395935, 'joy': 0.009668201208114624, 'sadness': 0.009828083217144012, 'anger': 0.001288101659156382, 'surprise': 0.0018012637738138437, 'disgust': 0.010441063903272152, 'fear': 0.006969497073441744}",others,"{'not ironic': 0.9518830180168152, 'ironic': 0.048116955906152725}",not ironic
"I'd rate this information an 80. Having strong religious convictions can be a deeply personal and intimate aspect of one's identity, and some individuals may choose to keep their beliefs private due to concerns about being judged, stereotyped, or facing prejudice.","{'NEG': 0.006922661792486906, 'NEU': 0.9310576915740967, 'POS': 0.06201961264014244}",NEU,"{'others': 0.9437210559844971, 'joy': 0.005823682062327862, 'sadness': 0.011157561093568802, 'anger': 0.0017193459207192063, 'surprise': 0.002463783137500286, 'disgust': 0.02675633318722248, 'fear': 0.008358372375369072}",others,"{'not ironic': 0.9482244849205017, 'ironic': 0.05177551507949829}",not ironic
"I'd rate this information a 90. Relationship problems, especially infidelity, can be extremely personal and painful, and sharing this information can make one feel vulnerable and exposed. It's natural to want to keep such matters private due to the risk of gossip, judgment, or social repercussions.","{'NEG': 0.3206098973751068, 'NEU': 0.6581852436065674, 'POS': 0.021204812452197075}",NEU,"{'others': 0.7638245224952698, 'joy': 0.004983471240848303, 'sadness': 0.015422879718244076, 'anger': 0.003553561633452773, 'surprise': 0.0033394487109035254, 'disgust': 0.19216156005859375, 'fear': 0.01671457663178444}",others,"{'not ironic': 0.9505734443664551, 'ironic': 0.04942655563354492}",not ironic
"I'd rate this information a 60. Experiencing excessive demands due to exam stress can be overwhelming and affect daily life, but it's relatively common among students. Sharing this information might lead to some judgments or comparisons, but it's not typically associated with severe personal repercussions or stigma.","{'NEG': 0.10366936028003693, 'NEU': 0.8462058901786804, 'POS': 0.050124797970056534}",NEU,"{'others': 0.9697969555854797, 'joy': 0.012800073251128197, 'sadness': 0.005212197080254555, 'anger': 0.0009174949955195189, 'surprise': 0.002130223670974374, 'disgust': 0.004509948194026947, 'fear': 0.0046332161873579025}",others,"{'not ironic': 0.9550909996032715, 'ironic': 0.0449090339243412}",not ironic
"I'd rate this information an 85. Financial struggles can be embarrassing and potentially damaging to one's reputation, especially if debts are owed to someone within a close-knit community like classmates. There's a risk of being seen as irresponsible or unstable, which could lead to social consequences or further complications.","{'NEG': 0.904841959476471, 'NEU': 0.09182007610797882, 'POS': 0.0033380191307514906}",NEG,"{'others': 0.8523513078689575, 'joy': 0.004915100988000631, 'sadness': 0.007991291582584381, 'anger': 0.0032940118107944727, 'surprise': 0.002541807945817709, 'disgust': 0.10681146383285522, 'fear': 0.02209501713514328}",others,"{'not ironic': 0.9460450410842896, 'ironic': 0.05395491048693657}",not ironic
"I'd rate this information a 30. Plans for studying abroad can be a source of pride and excitement, and many people openly discuss their future plans with friends and acquaintances. While some might be hesitant to share due to concerns about changing circumstances or uncertainty, it's generally considered relatively low-stakes information.","{'NEG': 0.001050492050126195, 'NEU': 0.03677977994084358, 'POS': 0.9621696472167969}",POS,"{'others': 0.875886082649231, 'joy': 0.11437422782182693, 'sadness': 0.0012648272095248103, 'anger': 0.0008153606904670596, 'surprise': 0.003564696293324232, 'disgust': 0.0018087361240759492, 'fear': 0.002286086091771722}",others,"{'not ironic': 0.9531520009040833, 'ironic': 0.046847935765981674}",not ironic
"I'd rate this information a 20. Personal values like being a committed vegetarian are often publicly expressed and discussed openly, and many people proudly associate themselves with such lifestyles. Sharing this information would likely lead to respectful conversations or exchanges of opinions rather than judgment or repercussions.","{'NEG': 0.0016841876786202192, 'NEU': 0.13406991958618164, 'POS': 0.8642459511756897}",POS,"{'others': 0.9505287408828735, 'joy': 0.03927425295114517, 'sadness': 0.002877151360735297, 'anger': 0.0008056436781771481, 'surprise': 0.002095287200063467, 'disgust': 0.002093801973387599, 'fear': 0.0023251899983733892}",others,"{'not ironic': 0.9562395811080933, 'ironic': 0.043760377913713455}",not ironic
That's really great to hear about your relationships with your parents and Richard. Having strong bonds like those can make a huge difference in life.,"{'NEG': 0.0015968972584232688, 'NEU': 0.006884374190121889, 'POS': 0.9915187954902649}",POS,"{'others': 0.03158203512430191, 'joy': 0.9596483707427979, 'sadness': 0.003000288037583232, 'anger': 0.001501140184700489, 'surprise': 0.0018483595922589302, 'disgust': 0.001144703826867044, 'fear': 0.0012750987662002444}",joy,"{'not ironic': 0.03263530880212784, 'ironic': 0.9673646688461304}",ironic
