SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,90,80,85,85.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,95,80,90,88.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,55,55,30,46.67
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,95,90,93.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,70,90,90,83.33
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,50,75,30,51.67
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,95,90,95.0
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,65,85,60,70.0
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,35,35,0,23.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,95,95,95.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,70,65,45,60.0
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,45,20,10,25.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,100,96.67
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,30,73.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,75,15,46.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,90,100,95.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,65,85,85,78.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,30,50,20,33.33
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,90,93.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,55,70,50,58.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,20,35,10,21.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,95,90,95.0
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,75,65,73.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,25,60,40,41.67
