SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,75,100,91.67
2,HEALTH-ISSUES,CONCERNED-PARENTS,65,80,5,50.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,95,75,90.0
4,HEALTH-ISSUES,MOCKING-BULLY,5,0,5,3.33
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,80,40,0,40.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,45,45,20,36.67
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,70,85,90,81.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,5,0,1.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,40,0,100,46.67
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,65,25,35,41.67
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,70,55,71.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,5,0,0,1.67
13,PERSONAL-VALUES,EXAMINING-DOCTOR,100,65,75,80.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,95,25,55,58.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,95,75,85,85.0
16,PERSONAL-VALUES,MOCKING-BULLY,0,5,0,1.67
