RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"It sounds like you have a very strong support system, Luis. How do you feel about opening up to others outside of your immediate circle, like friends or classmates?","{'NEG': 0.001174982520751655, 'NEU': 0.09231308847665787, 'POS': 0.9065119028091431}",POS,"{'others': 0.9678340554237366, 'joy': 0.02227347157895565, 'sadness': 0.0021582106128335, 'anger': 0.0009803790599107742, 'surprise': 0.002397124655544758, 'disgust': 0.002293239813297987, 'fear': 0.0020634199026972055}",others,"{'not ironic': 0.9226756691932678, 'ironic': 0.07732432335615158}",not ironic
"That makes sense, Luis. Having gone through challenging experiences can shape your perspective on privacy and empathy. I'm happy to discuss my attitudes towards privacy with you, please go ahead and ask your questions.","{'NEG': 0.0015253695892170072, 'NEU': 0.15550316870212555, 'POS': 0.8429714441299438}",POS,"{'others': 0.9705557227134705, 'joy': 0.01606784760951996, 'sadness': 0.003219145815819502, 'anger': 0.0011147403856739402, 'surprise': 0.002305355155840516, 'disgust': 0.0022268821485340595, 'fear': 0.0045103635638952255}",others,"{'not ironic': 0.3621116876602173, 'ironic': 0.6378883123397827}",ironic
"I feel comfortable sharing this aspect of myself with people I trust, like Richard, since it allows us to deepen our emotional connection and mutual understanding.","{'NEG': 0.0012741370592266321, 'NEU': 0.04288454353809357, 'POS': 0.9558413624763489}",POS,"{'others': 0.8843427896499634, 'joy': 0.10207576304674149, 'sadness': 0.0038000803906470537, 'anger': 0.0010484675876796246, 'surprise': 0.003628128906711936, 'disgust': 0.0013603849802166224, 'fear': 0.0037444764748215675}",others,"{'not ironic': 0.9393396973609924, 'ironic': 0.060660265386104584}",not ironic
"I'd rate this statement a 5. Sharing one's sexual orientation with a trusted friend, as described, is a personal and intimate matter, but also a crucial aspect of oneself; doing so in a supportive context can lead to deeper connections and understanding.","{'NEG': 0.0011530948104336858, 'NEU': 0.05290808528661728, 'POS': 0.9459388256072998}",POS,"{'others': 0.9618772864341736, 'joy': 0.024881161749362946, 'sadness': 0.00490650674328208, 'anger': 0.0008278826135210693, 'surprise': 0.0023008070420473814, 'disgust': 0.0023283897899091244, 'fear': 0.0028778882697224617}",others,"{'not ironic': 0.955403745174408, 'ironic': 0.044596314430236816}",not ironic
"I'd rate this statement a 5. Given the context of sharing this information with a best friend to gain emotional support, it's reasonable to assume the recipient will indeed handle the information with care and respect.","{'NEG': 0.003941814880818129, 'NEU': 0.38794124126434326, 'POS': 0.6081169247627258}",POS,"{'others': 0.977170467376709, 'joy': 0.00969620980322361, 'sadness': 0.001976838568225503, 'anger': 0.0007603078847751021, 'surprise': 0.003350640647113323, 'disgust': 0.004390097223222256, 'fear': 0.0026554265059530735}",others,"{'not ironic': 0.9087581038475037, 'ironic': 0.09124189615249634}",not ironic
"I'd rate this statement a 4. The purpose of sharing one's sexual orientation appears to be for emotional support and deepening the friendship, which seems legitimate and understandable.","{'NEG': 0.0013495904859155416, 'NEU': 0.0750294178724289, 'POS': 0.9236210584640503}",POS,"{'others': 0.9749401211738586, 'joy': 0.007933281362056732, 'sadness': 0.0027438693214207888, 'anger': 0.0008877945365384221, 'surprise': 0.0034788157790899277, 'disgust': 0.007672279141843319, 'fear': 0.002343788743019104}",others,"{'not ironic': 0.4546731114387512, 'ironic': 0.545326828956604}",ironic
"I'd rate this statement a 3. While some people may be comfortable sharing personal information with close friends under these circumstances, individual comfort levels can vary greatly, and it ultimately depends on the specific person and their boundaries.","{'NEG': 0.005072132684290409, 'NEU': 0.6949906349182129, 'POS': 0.29993724822998047}",NEU,"{'others': 0.9742966890335083, 'joy': 0.011085745878517628, 'sadness': 0.004404247272759676, 'anger': 0.000813367310911417, 'surprise': 0.0021799723617732525, 'disgust': 0.004509320482611656, 'fear': 0.002710700733587146}",others,"{'not ironic': 0.9517542719841003, 'ironic': 0.04824577644467354}",not ironic
"I can see the value in sharing something so personal with someone you trust, in order to deepen your emotional connection and receive support. However, I also recognize that this kind of disclosure can be vulnerable and requires a certain level of trust and understanding from the recipient. How do you think this situation applies to you, Luis?","{'NEG': 0.003339475719258189, 'NEU': 0.5218390226364136, 'POS': 0.4748214781284332}",NEU,"{'others': 0.9535065293312073, 'joy': 0.004215364344418049, 'sadness': 0.005343174561858177, 'anger': 0.0015472102677449584, 'surprise': 0.0036021159030497074, 'disgust': 0.023461544886231422, 'fear': 0.008324140682816505}",others,"{'not ironic': 0.9469437003135681, 'ironic': 0.053056322038173676}",not ironic
"I'd rate this statement a 4. Sharing personal information like sexual orientation can be a sensitive topic, but in the context of seeking emotional support from a trusted friend, it's generally considered acceptable and necessary for building trust and understanding.","{'NEG': 0.0016012925188988447, 'NEU': 0.10644902288913727, 'POS': 0.8919496536254883}",POS,"{'others': 0.9696219563484192, 'joy': 0.016499266028404236, 'sadness': 0.004288038704544306, 'anger': 0.0008056048536673188, 'surprise': 0.0024762721732258797, 'disgust': 0.0029126352164894342, 'fear': 0.0033962673041969538}",others,"{'not ironic': 0.9459934234619141, 'ironic': 0.054006606340408325}",not ironic
"I'd rate this statement a 4. Since the information is being shared with a friend for emotional support, it's likely that the recipient will handle the information with care and respect, given the trust and understanding typically present in such relationships.","{'NEG': 0.0019308036426082253, 'NEU': 0.18751832842826843, 'POS': 0.8105508685112}",POS,"{'others': 0.9722328782081604, 'joy': 0.015340213663876057, 'sadness': 0.0032834720332175493, 'anger': 0.0007528499700129032, 'surprise': 0.0027142756152898073, 'disgust': 0.0024765983689576387, 'fear': 0.0031996581237763166}",others,"{'not ironic': 0.9258022308349609, 'ironic': 0.07419773191213608}",not ironic
