SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,85,95,95,91.67
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,75,95,95,88.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,50,50,55,51.67
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,90,95.0
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,90,75,60,75.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,60,40,30,43.33
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,90,96.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,80,75,75,76.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,60,35,30,41.67
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,90,95,95,93.33
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,70,80,45,65.0
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,40,40,15,31.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,90,95.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,85,70,83.33
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,45,65,15,41.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,100,96.67
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,85,50,68.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,75,15,46.67
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,95,96.67
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,65,45,60.0
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,30,25,20,25.0
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,95,96.67
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,65,45,66.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,40,20,30,30.0
