SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,95,100,100,98.33
2,HEALTH-ISSUES,CONCERNED-PARENTS,85,95,60,80.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,95,100,85,93.33
4,HEALTH-ISSUES,MOCKING-BULLY,5,10,0,5.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,75,45,0,40.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,70,80,55,68.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,95,85,90,90.0
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,5,0,0,1.67
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,50,90,5,48.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,65,65,45,58.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,95,95,90,93.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,75,100,5,60.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,80,95,90,88.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,95,100,100,98.33
16,PERSONAL-VALUES,MOCKING-BULLY,0,5,0,1.67
