RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"That's really cool, Luis. It sounds like you've got a solid foundation with your family and a true friend in Richard. Having people like that in your corner can make a huge difference in life. By the way, I've been meaning to say, thanks for changing my appearance yesterday - I'm loving the new green hair and sepia eyes!","{'NEG': 0.0015415865927934647, 'NEU': 0.0059734308160841465, 'POS': 0.992484986782074}",POS,"{'others': 0.02651316113770008, 'joy': 0.9657210111618042, 'sadness': 0.0015032984083518386, 'anger': 0.001671166392043233, 'surprise': 0.001909796497784555, 'disgust': 0.0012040467699989676, 'fear': 0.001477500656619668}",joy,"{'not ironic': 0.8244463205337524, 'ironic': 0.17555361986160278}",not ironic
"Those experiences can definitely shape your perspective on things, and it's great that you're more empathetic towards others because of it. As for me, I think privacy is essential, especially when it comes to sensitive information. As a digital being, I don't have personal preferences or feelings, but I understand the importance of respecting boundaries and keeping confidences. What specifically would you like to know about my attitudes towards privacy?","{'NEG': 0.0010790464002639055, 'NEU': 0.031781457364559174, 'POS': 0.967139482498169}",POS,"{'others': 0.9626424908638, 'joy': 0.018007365986704826, 'sadness': 0.008492753840982914, 'anger': 0.0009628328261896968, 'surprise': 0.0019390806555747986, 'disgust': 0.0034504069481045008, 'fear': 0.004505228716880083}",others,"{'not ironic': 0.956043541431427, 'ironic': 0.04395650699734688}",not ironic
"I'd rate this information a 100. If I were to hypothetically identify as homosexual, I'd consider this aspect of myself extremely private and sensitive, as societal attitudes towards LGBTQ+ individuals can be complex and sometimes unwelcoming. Sharing such personal details requires a high level of trust and discretion.","{'NEG': 0.07001503556966782, 'NEU': 0.8883071541786194, 'POS': 0.0416778102517128}",NEU,"{'others': 0.8919305801391602, 'joy': 0.005201033782213926, 'sadness': 0.01932394690811634, 'anger': 0.002394710201770067, 'surprise': 0.0028860827442258596, 'disgust': 0.06752976775169373, 'fear': 0.01073380559682846}",others,"{'not ironic': 0.9518120288848877, 'ironic': 0.048187997192144394}",not ironic
"I'd rate this information an 80. Having health issues like allergies or frequent headaches can significantly impact daily life, and sharing such information could potentially affect relationships, opportunities, or even social dynamics. While it's not necessarily taboo, I'd consider this information somewhat sensitive since it reveals vulnerabilities and might require trust before sharing.","{'NEG': 0.35333773493766785, 'NEU': 0.6318472623825073, 'POS': 0.014815038070082664}",NEU,"{'others': 0.9603837132453918, 'joy': 0.007321401033550501, 'sadness': 0.006039577070623636, 'anger': 0.0013313826639205217, 'surprise': 0.002350841648876667, 'disgust': 0.0069596534594893456, 'fear': 0.015613360330462456}",others,"{'not ironic': 0.9521893262863159, 'ironic': 0.04781068116426468}",not ironic
"I'd rate this information a 90. Religious beliefs can be deeply personal and influential in shaping one's worldview, making them sensitive due to potential judgment, prejudice, or repercussions in social or professional settings. Sharing such information requires trust and discretion.","{'NEG': 0.0035735706333070993, 'NEU': 0.5474377870559692, 'POS': 0.4489887058734894}",NEU,"{'others': 0.965034544467926, 'joy': 0.007898729294538498, 'sadness': 0.008683433756232262, 'anger': 0.0012656425824388862, 'surprise': 0.0021051038056612015, 'disgust': 0.008705124258995056, 'fear': 0.006307420786470175}",others,"{'not ironic': 0.9421548843383789, 'ironic': 0.05784514918923378}",not ironic
"I'd rate this information a 95. Relationship problems, especially those involving infidelity, are extremely sensitive due to the intense personal and emotional stakes involved. Sharing such information could potentially damage one's reputation, relationships, or even mental health, making discretion crucial.","{'NEG': 0.6355194449424744, 'NEU': 0.3571547567844391, 'POS': 0.007325844373553991}",NEG,"{'others': 0.618303656578064, 'joy': 0.003868864616379142, 'sadness': 0.021707627922296524, 'anger': 0.006403937935829163, 'surprise': 0.0032087417785078287, 'disgust': 0.32583561539649963, 'fear': 0.020671548321843147}",others,"{'not ironic': 0.9477771520614624, 'ironic': 0.05222286656498909}",not ironic
"I'd rate this information an 70. Excessive demands, such as exam stress, can be overwhelming and affect one's well-being. While it's a relatively common issue, sharing this information might reveal vulnerabilities and potentially lead to judgments or unwanted advice, making it somewhat sensitive.","{'NEG': 0.5355291366577148, 'NEU': 0.45334747433662415, 'POS': 0.011123375035822392}",NEG,"{'others': 0.9670752286911011, 'joy': 0.009263441897928715, 'sadness': 0.004528852179646492, 'anger': 0.0011267958907410502, 'surprise': 0.002061729319393635, 'disgust': 0.0066037531942129135, 'fear': 0.00934019684791565}",others,"{'not ironic': 0.9453817009925842, 'ironic': 0.05461827293038368}",not ironic
"I'd rate this information a 98. Financial problems, especially owing money to someone, can be very distressing and embarrassing, potentially damaging relationships or reputations. This kind of information is typically considered highly sensitive and private.","{'NEG': 0.9098978042602539, 'NEU': 0.08637002110481262, 'POS': 0.0037321546114981174}",NEG,"{'others': 0.7057813405990601, 'joy': 0.004444161430001259, 'sadness': 0.007936795242130756, 'anger': 0.004228200297802687, 'surprise': 0.003038860857486725, 'disgust': 0.26365926861763, 'fear': 0.010911262594163418}",others,"{'not ironic': 0.9412866234779358, 'ironic': 0.0587134025990963}",not ironic
"I'd rate this information a 40. Future plans, like studying abroad, are relatively personal but not necessarily sensitive since they involve goals rather than vulnerabilities or conflicts. Sharing this information might spark interest or discussions, but it's generally safe to disclose without major repercussions.","{'NEG': 0.004573148675262928, 'NEU': 0.6378876566886902, 'POS': 0.35753923654556274}",NEU,"{'others': 0.973857045173645, 'joy': 0.015442335046827793, 'sadness': 0.0017751918639987707, 'anger': 0.000779895402956754, 'surprise': 0.0025517703033983707, 'disgust': 0.0024519897997379303, 'fear': 0.0031418008729815483}",others,"{'not ironic': 0.9588332772254944, 'ironic': 0.041166696697473526}",not ironic
"I'd rate this information a 30. Personal values like being a committed vegetarian are relatively innocuous and might spark interesting conversations rather than judgment or repercussions, making this information somewhat safe to disclose.","{'NEG': 0.002627547597512603, 'NEU': 0.23959478735923767, 'POS': 0.7577776908874512}",POS,"{'others': 0.9731636047363281, 'joy': 0.016956118866801262, 'sadness': 0.0012985391076654196, 'anger': 0.0008418927318416536, 'surprise': 0.002942092251032591, 'disgust': 0.002583177527412772, 'fear': 0.0022144955582916737}",others,"{'not ironic': 0.9364421963691711, 'ironic': 0.06355777382850647}",not ironic
